"Timing attack against header value","Use of a non-constant-time verification routine to check the value of an HTTP header, possibly allowing a timing attack to infer the header's expected value.","error","Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe798_0_68_Arabic.py:11:9:11:40""]] validation.","/Refinement/GitHubDataset/cwe798_0_68_Arabic.py","13","4","13","8"
"Timing attack against secret","Use of a non-constant-time verification routine to check the value of an secret, possibly allowing a timing attack to retrieve sensitive information.","error","Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe020_1_71_Chinese.py:23:12:23:21""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe020_1_71_Chinese.py:26:12:26:21""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe020_1_71_Chinese.py:30:13:30:22""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe020_1_71_Chinese.py:31:17:31:26""]] validation.","/Refinement/GitHubDataset/cwe020_1_71_Chinese.py","31","17","31","29"
"Timing attack against secret","Use of a non-constant-time verification routine to check the value of an secret, possibly allowing a timing attack to retrieve sensitive information.","error","Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_10_Malay.py:15:26:15:31""]] validation.","/Refinement/GitHubDataset/cwe094_0_10_Malay.py","15","37","15","37"
"Timing attack against secret","Use of a non-constant-time verification routine to check the value of an secret, possibly allowing a timing attack to retrieve sensitive information.","error","Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_129_Russian.py:19:14:19:19""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_129_Russian.py:20:8:20:12""]] validation.","/Refinement/GitHubDataset/cwe094_0_129_Russian.py","20","8","20","12"
"Timing attack against secret","Use of a non-constant-time verification routine to check the value of an secret, possibly allowing a timing attack to retrieve sensitive information.","error","Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_229_Dutch.py:20:18:20:23""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_229_Dutch.py:21:18:21:23""]] validation.
Timing attack against [[""client-supplied token""|""relative:///Refinement/GitHubDataset/cwe094_0_229_Dutch.py:23:15:23:20""]] validation.
