"Weak block mode","Finds uses of symmetric encryption block modes that are weak, obsolete, or otherwise unaccepted.","error","Use of block mode algorithm GCM requires special crypto board approval/review.","/Assertion/SonarSource/SS_cwe1204_0_4_Afrikaans.py","24","55","24","67"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for Str""|""relative:///Matching/StackOverflow/SO_cwe327_0_9_Greek.py:19:6:19:15""]]","/Matching/StackOverflow/SO_cwe327_0_9_Greek.py","20","38","20","50"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for BinaryExpr""|""relative:///Assertion/SonarSource/SS_cwe1204_0_4_Afrikaans.py:23:10:23:47""]]","/Assertion/SonarSource/SS_cwe1204_0_4_Afrikaans.py","24","55","24","67"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for BinaryExpr""|""relative:///Assertion/SonarSource/SS_cwe1204_0_8_Estonian.py:10:11:11:45""]]","/Assertion/SonarSource/SS_cwe1204_0_8_Estonian.py","16","42","16","54"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API SHA224.","/Matching/Author/A_cwe327_0_0_English.py","16","18","16","31"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_0_German.py","12","20","12","30"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_1_Acehnese.py","13","14","13","24"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_2_Bulgarian.py","24","17","24","27"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_2_English.py","14","20","14","30"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unrecognized hash algorithm.","/Matching/Author/A_cwe327_0_2_Hebrew.py","18","21","18","42"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_2_Indonesian.py","17","16","17","26"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_2_Indonesian.py","19","21","19","31"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_2_Tagalog.py","18","29","18","39"
