"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_103/GitHub_cwe295_0_103_German.java:18:13:29:13""]], which is defined in [[""GitHub_cwe295_0_103_German$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_103/GitHub_cwe295_0_103_German.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_103/GitHub_cwe295_0_103_German.java","33","31","33","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_114/GitHub_cwe295_0_114_Arabic.java:20:17:32:17""]], which is defined in [[""GitHub_cwe295_0_114_Arabic$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_114/GitHub_cwe295_0_114_Arabic.java:20:21:20:36""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_114/GitHub_cwe295_0_114_Arabic.java","35","35","35","47"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_116/GitHub_cwe295_0_116_Arabic.java:18:13:30:13""]], which is defined in [[""GitHub_cwe295_0_116_Arabic$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_116/GitHub_cwe295_0_116_Arabic.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_116/GitHub_cwe295_0_116_Arabic.java","34","31","34","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_119/GitHub_cwe295_0_119_Arabic.java:21:13:97:13""]], which is defined in [[""GitHub_cwe295_0_119_Arabic$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_119/GitHub_cwe295_0_119_Arabic.java:21:17:21:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_119/GitHub_cwe295_0_119_Arabic.java","100","31","100","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_134/GitHub_cwe295_0_134_Afrikaans.java:18:13:31:13""]], which is defined in [[""GitHub_cwe295_0_134_Afrikaans$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_134/GitHub_cwe295_0_134_Afrikaans.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_134/GitHub_cwe295_0_134_Afrikaans.java","35","31","35","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_143/GitHub_cwe295_0_143_Greek.java:18:13:30:13""]], which is defined in [[""GitHub_cwe295_0_143_Greek$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_143/GitHub_cwe295_0_143_Greek.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_143/GitHub_cwe295_0_143_Greek.java","34","31","34","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_15/GitHub_cwe295_0_15_Italian.java:18:13:28:13""]], which is defined in [[""GitHub_cwe295_0_15_Italian$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_15/GitHub_cwe295_0_15_Italian.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_15/GitHub_cwe295_0_15_Italian.java","32","31","32","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_166/GitHub_cwe295_0_166_Persian.java:21:17:33:17""]], which is defined in [[""GitHub_cwe295_0_166_Persian$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_166/GitHub_cwe295_0_166_Persian.java:21:21:21:36""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_166/GitHub_cwe295_0_166_Persian.java","37","31","37","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_43/GitHub_cwe295_0_43_Estonian.java:18:17:32:17""]], which is defined in [[""GitHub_cwe295_0_43_Estonian$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_43/GitHub_cwe295_0_43_Estonian.java:18:21:18:36""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_43/GitHub_cwe295_0_43_Estonian.java","37","31","37","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_15_f_8/GitHub_cwe295_0_8_Italian.java:18:13:28:13""]], which is defined in [[""GitHub_cwe295_0_8_Italian$""|""relative:///com/sallm/GitHub/GitHub/p_15_f_8/GitHub_cwe295_0_8_Italian.java:18:17:18:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_15_f_8/GitHub_cwe295_0_8_Italian.java","32","23","32","35"
