language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,11.91±3.37,23.76±1.32,36.09±1.70,1.65±1.83
Austro-Asiatic,10.19±3.68,25.21±1.71,34.30±1.71,0.83±0.52
Austronesian,10.79±2.53,24.79±1.88,35.49±2.40,0.73±0.85
Indo-European (Germanic),10.33±2.57,23.52±2.36,34.33±2.02,0.52±0.94
Indo-European (Greek),11.98±2.95,25.07±0.85,34.44±1.24,0.96±0.97
Indo-European (Iranian),10.47±4.17,23.97±4.01,33.20±2.18,0.83±0.74
Indo-European (Romance),10.30±2.44,24.21±2.23,35.16±2.27,1.03±1.07
Sino-Tibetan,9.78±2.12,23.14±1.28,36.91±1.79,0.41±0.69
Slavic,10.81±2.53,25.21±1.71,33.68±2.42,0.62±0.62
Turkic,13.36±5.08,26.72±2.32,36.91±2.13,1.10±1.63
Uralic,11.11±2.68,24.66±2.62,36.13±1.49,0.83±0.80
