language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,14.92±1.90,25.60±1.38,20.63±3.41,1.01±0.70
Austro-Asiatic,16.53±0.99,26.88±1.82,20.03±2.13,0.94±0.61
Austronesian,14.52±1.66,24.69±1.54,19.35±3.35,0.49±0.56
Indo-European (Germanic),13.05±2.30,24.05±2.51,17.58±2.95,0.94±1.03
Indo-European (Greek),15.32±1.84,23.39±2.28,16.94±2.75,0.67±0.94
Indo-European (Iranian),14.92±1.51,23.66±1.32,15.32±2.97,0.40±0.67
Indo-European (Romance),14.65±2.03,23.82±2.11,19.42±3.23,0.77±0.65
Sino-Tibetan,14.78±1.21,25.67±0.94,18.82±3.37,0.81±0.72
Slavic,13.98±1.66,23.12±1.80,19.96±4.35,0.87±0.73
Turkic,16.53±2.32,23.25±1.39,17.61±3.90,0.94±0.94
Uralic,14.02±2.13,23.57±1.28,19.00±3.36,1.30±0.79
