language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,16.13±6.13,37.27±3.06,8.73±6.83,0.13±0.46
Austro-Asiatic,20.80±6.05,41.33±2.94,6.40±6.18,0.00±0.00
Austronesian,17.69±5.68,38.89±4.61,6.58±6.52,0.09±0.26
Indo-European (Germanic),19.27±6.09,37.77±3.58,6.73±6.61,0.03±0.16
Indo-European (Greek),18.13±6.33,35.87±3.70,6.93±5.72,0.00±0.00
Indo-European (Iranian),17.87±6.13,35.07±2.84,7.33±6.62,0.13±0.33
Indo-European (Romance),19.20±6.28,38.63±4.04,7.10±7.33,0.10±0.27
Sino-Tibetan,17.20±5.85,37.33±1.87,6.13±5.35,0.00±0.00
Slavic,18.00±7.00,35.00±3.36,7.33±7.11,0.13±0.31
Turkic,14.27±5.95,38.53±4.06,5.87±6.37,0.00±0.00
Uralic,15.96±6.62,37.47±3.51,5.56±5.63,0.09±0.38
