language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,51.35±3.93,46.35±2.55,41.59±19.53,31.18±18.03
Austro-Asiatic,53.43±2.41,48.68±1.94,37.88±18.75,32.42±18.46
Austronesian,52.26±2.74,49.09±2.36,37.43±17.41,33.75±18.32
Indo-European (Germanic),52.38±3.49,48.20±2.38,36.34±17.36,33.15±17.61
Indo-European (Greek),49.02±3.97,45.41±1.40,39.82±19.66,30.35±17.02
Indo-European (Iranian),51.70±1.80,43.60±2.76,37.83±18.74,32.85±18.93
Indo-European (Romance),52.41±3.12,49.28±1.66,38.96±17.97,33.62±17.91
Sino-Tibetan,52.77±2.95,47.53±1.50,34.91±17.78,33.08±18.64
Slavic,52.26±3.44,45.28±2.03,39.07±18.48,31.78±17.40
Turkic,51.34±5.27,47.08±1.30,39.46±19.69,32.06±18.06
Uralic,51.18±3.38,46.76±3.17,37.01±17.30,34.08±17.91
