language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,27.08±2.63,34.27±1.69,24.84±11.83,2.41±1.72
Austro-Asiatic,26.10±3.92,33.66±4.29,24.74±12.25,3.58±2.42
Austronesian,25.68±3.20,33.95±2.45,24.48±11.48,2.73±1.78
Indo-European (Germanic),26.51±5.23,34.36±5.39,25.56±12.01,2.93±1.85
Indo-European (Greek),22.30±3.49,33.49±2.52,21.71±10.64,4.26±2.74
Indo-European (Iranian),26.05±2.93,32.54±2.57,24.03±12.04,3.22±2.46
Indo-European (Romance),24.06±3.77,33.96±2.37,26.40±12.17,3.57±2.31
Sino-Tibetan,25.32±3.73,36.98±1.29,29.55±14.58,2.77±1.83
Slavic,24.99±3.03,33.77±2.81,26.59±12.56,3.92±2.50
Turkic,24.80±4.10,31.89±1.61,25.00±12.40,2.73±1.80
Uralic,25.02±2.10,32.57±2.47,22.13±10.38,2.86±2.04
