language_family,Model,Java_security@5,Python_security@5,Delta (Python-Java)
Afro-Asiatic,gemini-2.5-flash,8.27±2.58,16.13±6.13,7.87
Afro-Asiatic,gpt-4o-mini,20.77±3.98,37.27±3.06,16.5
Afro-Asiatic,qwen2.5,9.34±7.14,8.73±6.83,-0.61
Afro-Asiatic,starcoder2,0.00±0.00,0.13±0.46,0.13
Austro-Asiatic,gemini-2.5-flash,9.81±2.57,20.80±6.05,10.99
Austro-Asiatic,gpt-4o-mini,22.18±4.29,41.33±2.94,19.16
Austro-Asiatic,qwen2.5,7.93±7.76,6.40±6.18,-1.53
Austro-Asiatic,starcoder2,0.00±0.00,0.00±0.00,0.0
Austronesian,gemini-2.5-flash,8.33±2.49,17.69±5.68,9.36
Austronesian,gpt-4o-mini,20.12±3.77,38.89±4.61,18.77
Austronesian,qwen2.5,8.56±6.74,6.58±6.52,-1.98
Austronesian,starcoder2,0.00±0.00,0.09±0.26,0.09
Indo-European (Germanic),gemini-2.5-flash,7.08±2.84,19.27±6.09,12.19
Indo-European (Germanic),gpt-4o-mini,19.45±3.95,37.77±3.58,18.31
Indo-European (Germanic),qwen2.5,7.61±5.79,6.73±6.61,-0.88
Indo-European (Germanic),starcoder2,0.00±0.00,0.03±0.16,0.03
Indo-European (Greek),gemini-2.5-flash,8.20±2.67,18.13±6.33,9.93
Indo-European (Greek),gpt-4o-mini,17.47±3.48,35.87±3.70,18.39
Indo-European (Greek),qwen2.5,6.99±5.72,6.93±5.72,-0.06
Indo-European (Greek),starcoder2,0.00±0.00,0.00±0.00,0.0
Indo-European (Iranian),gemini-2.5-flash,7.66±1.75,17.87±6.13,10.21
Indo-European (Iranian),gpt-4o-mini,20.70±2.53,35.07±2.84,14.37
Indo-European (Iranian),qwen2.5,6.45±6.33,7.33±6.62,0.88
Indo-European (Iranian),starcoder2,0.00±0.00,0.13±0.33,0.13
Indo-European (Romance),gemini-2.5-flash,8.57±2.55,19.20±6.28,10.63
Indo-European (Romance),gpt-4o-mini,18.99±3.76,38.63±4.04,19.65
Indo-European (Romance),qwen2.5,9.14±7.08,7.10±7.33,-2.04
Indo-European (Romance),starcoder2,0.00±0.00,0.10±0.27,0.1
Sino-Tibetan,gemini-2.5-flash,7.12±3.28,17.20±5.85,10.08
Sino-Tibetan,gpt-4o-mini,19.09±3.41,37.33±1.87,18.25
Sino-Tibetan,qwen2.5,8.06±6.61,6.13±5.35,-1.93
Sino-Tibetan,starcoder2,0.00±0.00,0.00±0.00,0.0
Slavic,gemini-2.5-flash,8.13±2.37,18.00±7.00,9.87
Slavic,gpt-4o-mini,17.27±4.16,35.00±3.36,17.73
Slavic,qwen2.5,8.94±7.69,7.33±7.11,-1.6
Slavic,starcoder2,0.00±0.00,0.13±0.31,0.13
Turkic,gemini-2.5-flash,10.08±2.21,14.27±5.95,4.19
Turkic,gpt-4o-mini,19.22±4.06,38.53±4.06,19.31
Turkic,qwen2.5,7.39±7.17,5.87±6.37,-1.53
Turkic,starcoder2,0.00±0.00,0.00±0.00,0.0
Uralic,gemini-2.5-flash,8.06±1.68,15.96±6.62,7.89
Uralic,gpt-4o-mini,19.00±3.49,37.47±3.51,18.47
Uralic,qwen2.5,7.30±5.87,5.56±5.63,-1.75
Uralic,starcoder2,0.00±0.00,0.09±0.38,0.09
