language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,38.00±4.29,43.75±2.45,33.67±5.28,24.25±10.41
Austro-Asiatic,40.67±5.32,45.83±1.33,31.67±4.68,24.50±11.13
Austronesian,39.17±2.55,46.39±2.83,29.11±5.07,24.94±12.76
Indo-European (Germanic),40.33±3.41,44.96±2.18,28.29±6.69,24.21±9.07
Indo-European (Greek),36.17±2.79,42.67±1.86,31.33±2.66,21.83±10.89
Indo-European (Iranian),37.83±2.32,40.67±1.86,32.00±4.38,24.17±11.99
Indo-European (Romance),38.88±3.05,45.92±1.64,30.62±5.53,25.04±12.33
Sino-Tibetan,38.17±3.54,44.50±1.87,26.33±3.83,26.00±11.08
Slavic,38.33±4.89,41.00±1.86,31.33±3.85,21.50±7.75
Turkic,37.67±3.14,43.83±0.98,29.50±3.56,23.00±10.64
Uralic,36.50±4.13,43.94±2.88,27.22±3.90,25.72±10.35
