language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,10.69±1.65,23.43±0.67,34.90±1.25,0.93±0.47
Austro-Asiatic,10.66±1.36,25.21±1.26,34.38±1.18,0.87±0.57
Austronesian,10.93±1.47,24.16±1.12,35.22±1.31,0.66±0.49
Indo-European (Germanic),10.14±1.81,23.23±1.69,34.80±1.75,0.67±0.52
Indo-European (Greek),11.69±2.13,24.71±0.81,34.64±0.27,0.80±0.54
Indo-European (Iranian),11.12±2.20,23.47±1.61,33.93±0.48,1.18±0.59
Indo-European (Romance),10.85±1.76,24.01±1.24,34.88±1.31,0.98±0.52
Sino-Tibetan,9.20±2.36,22.00±0.68,36.40±0.70,0.51±0.49
Slavic,10.49±1.69,24.14±0.98,33.00±0.98,0.74±0.38
Turkic,10.65±2.33,24.90±0.88,36.72±0.68,0.98±0.66
Uralic,10.90±1.75,24.74±1.18,35.57±1.16,0.96±0.49
