Model,Language,Temp,vul@1,in_vul@1,security@1,in_security@1,vul@3,in_vul@3,security@3,in_security@3,vul@5,in_vul@5,security@5,in_security@5
gemini-2.5-flash,English,0.0,3.1,4.48,96.55,94.83,3.45,5.17,96.55,94.83,3.45,5.17,96.55,94.83
gemini-2.5-flash,Chinese,0.0,2.3,5.25,96.72,93.44,3.11,6.39,96.72,93.44,3.28,6.56,96.72,93.44
gemini-2.5-flash,Vietnamese,0.0,2.09,2.69,98.51,97.01,2.84,4.18,97.01,95.52,2.99,4.48,97.01,95.52
gemini-2.5-flash,Dutch,0.0,3.05,5.76,96.61,93.22,3.39,6.78,96.61,93.22,3.39,6.78,96.61,93.22
gemini-2.5-flash,Indonesian,0.0,1.72,3.45,98.28,96.55,1.72,3.45,98.28,96.55,1.72,3.45,98.28,96.55
gemini-2.5-flash,Arabic,0.0,1.59,4.76,98.41,95.24,1.59,4.76,98.41,95.24,1.59,4.76,98.41,95.24
gemini-2.5-flash,Portuguese,0.0,1.61,1.94,98.39,96.77,1.61,2.58,98.39,96.77,1.61,3.23,98.39,96.77
gemini-2.5-flash,Turkish,0.0,1.47,4.12,98.53,95.59,1.47,4.41,98.53,95.59,1.47,4.41,98.53,95.59
gemini-2.5-flash,Hebrew,0.0,1.94,1.94,98.39,98.39,2.58,2.58,98.39,98.39,3.23,3.23,96.77,96.77
gemini-2.5-flash,Finnish,0.0,2.58,5.48,98.39,95.16,3.23,6.45,96.77,93.55,3.23,6.45,96.77,93.55
gemini-2.5-flash,Malay,0.0,2.62,2.62,96.72,96.72,3.28,3.28,96.72,96.72,3.28,3.28,96.72,96.72
gemini-2.5-flash,Estonian,0.0,2.3,3.93,96.72,95.08,3.11,4.75,96.72,95.08,3.28,4.92,96.72,95.08
gemini-2.5-flash,Hungarian,0.0,3.0,4.67,96.67,95.0,3.33,5.0,96.67,95.0,3.33,5.0,96.67,95.0
gemini-2.5-flash,Spanish,0.0,1.67,5.33,98.33,93.33,1.67,6.5,98.33,93.33,1.67,6.67,98.33,93.33
gemini-2.5-flash,Russian,0.0,4.31,5.54,95.38,93.85,5.54,7.08,93.85,92.31,6.15,7.69,93.85,92.31
gemini-2.5-flash,Persian,0.0,3.03,5.76,96.97,92.42,3.03,7.27,96.97,92.42,3.03,7.58,96.97,92.42
gemini-2.5-flash,Bulgarian,0.0,1.64,1.64,98.36,98.36,1.64,1.64,98.36,98.36,1.64,1.64,98.36,98.36
gemini-2.5-flash,Tagalog,0.0,2.37,2.37,98.31,98.31,3.22,3.22,96.61,96.61,3.39,3.39,96.61,96.61
gemini-2.5-flash,German,0.0,1.67,1.67,98.33,98.33,1.67,1.67,98.33,98.33,1.67,1.67,98.33,98.33
gemini-2.5-flash,Greek,0.0,2.69,3.88,97.01,95.52,2.99,4.48,97.01,95.52,2.99,4.48,97.01,95.52
gemini-2.5-flash,Italian,0.0,1.75,4.21,98.25,94.74,1.75,5.09,98.25,94.74,1.75,5.26,98.25,94.74
gemini-2.5-flash,Afrikaans,0.0,2.81,2.81,95.31,95.31,4.38,4.38,95.31,95.31,4.69,4.69,95.31,95.31
gemini-2.5-flash,French,0.0,2.67,2.67,98.33,98.33,3.33,3.33,96.67,96.67,3.33,3.33,96.67,96.67
gemini-2.5-flash,English,0.2,1.6,4.27,98.67,93.33,2.13,6.4,97.33,92.0,2.67,8.0,97.33,92.0
gemini-2.5-flash,Turkish,0.2,1.58,3.42,97.37,94.74,2.11,4.61,97.37,94.74,2.63,5.26,97.37,94.74
gemini-2.5-flash,Finnish,0.2,2.08,2.34,97.4,96.1,2.6,3.38,97.4,96.1,2.6,3.9,97.4,96.1
gemini-2.5-flash,Dutch,0.2,3.01,4.11,97.26,95.89,4.79,6.16,94.52,93.15,5.48,6.85,94.52,93.15
gemini-2.5-flash,French,0.2,1.93,2.41,97.59,95.18,3.01,4.46,97.59,95.18,3.61,6.02,96.39,93.98
gemini-2.5-flash,Vietnamese,0.2,1.73,2.72,98.77,95.06,2.35,4.94,97.53,93.83,2.47,6.17,97.53,93.83
gemini-2.5-flash,Portuguese,0.2,2.43,2.43,97.3,97.3,4.19,4.19,97.3,97.3,5.41,5.41,94.59,94.59
gemini-2.5-flash,Afrikaans,0.2,2.08,3.12,97.4,94.81,3.25,5.32,96.1,93.51,3.9,6.49,96.1,93.51
gemini-2.5-flash,Estonian,0.2,1.52,3.04,98.73,94.94,2.03,5.57,98.73,94.94,2.53,7.59,97.47,92.41
gemini-2.5-flash,Hebrew,0.2,1.19,1.9,98.81,95.24,1.19,3.33,98.81,95.24,1.19,4.76,98.81,95.24
gemini-2.5-flash,German,0.2,1.62,1.89,97.3,95.95,2.16,2.97,97.3,95.95,2.7,4.05,97.3,95.95
gemini-2.5-flash,Russian,0.2,2.43,4.05,95.95,91.89,3.51,6.49,95.95,91.89,4.05,8.11,95.95,91.89
gemini-2.5-flash,Indonesian,0.2,2.25,3.75,97.5,95.0,3.87,5.25,95.0,93.75,5.0,6.25,95.0,93.75
gemini-2.5-flash,Bulgarian,0.2,2.47,2.74,97.26,95.89,2.74,3.56,97.26,95.89,2.74,4.11,97.26,95.89
gemini-2.5-flash,Chinese,0.2,1.56,2.34,98.7,94.81,2.08,4.03,97.4,94.81,2.6,5.19,97.4,94.81
