language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,7.59±1.19,31.26±1.60,34.39±1.07,1.22±0.37
Austro-Asiatic,7.92±0.98,30.49±1.35,35.94±1.70,0.81±0.47
Austronesian,7.19±1.01,31.07±1.40,35.63±1.39,0.63±0.40
Indo-European (Germanic),8.25±1.31,32.80±2.79,35.96±3.31,0.58±0.42
Indo-European (Greek),7.88±1.00,31.59±0.44,34.33±0.69,0.83±0.44
Indo-European (Iranian),7.56±1.10,30.48±0.81,35.70±1.09,1.34±0.37
Indo-European (Romance),8.45±1.15,31.69±1.22,35.26±1.03,0.67±0.49
Sino-Tibetan,6.94±1.50,30.10±0.90,36.25±1.37,0.55±0.33
Slavic,7.86±1.42,29.77±1.69,34.69±1.03,0.83±0.45
Turkic,7.13±0.93,30.10±0.41,33.84±0.69,0.72±0.49
Uralic,7.75±1.38,31.11±1.58,33.37±1.98,0.97±0.36
