language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,49.71±3.93,45.87±1.89,40.42±18.93,13.65±7.81
Austro-Asiatic,50.95±2.33,48.06±1.53,36.15±17.79,15.49±8.56
Austronesian,50.39±2.68,48.28±2.21,36.50±16.92,14.90±8.30
Indo-European (Germanic),50.37±3.25,47.44±2.57,35.64±17.02,15.86±8.29
Indo-European (Greek),47.55±3.69,45.21±1.69,37.28±18.37,15.20±8.40
Indo-European (Iranian),50.04±1.79,44.75±2.47,37.67±18.58,13.66±8.44
Indo-European (Romance),50.14±3.02,48.03±1.66,38.35±17.67,16.01±8.31
Sino-Tibetan,50.38±2.70,46.16±2.43,35.30±17.79,13.48±8.55
Slavic,50.38±2.58,44.61±2.26,37.61±17.74,16.08±8.26
Turkic,49.93±5.31,45.65±1.34,38.42±19.06,16.38±9.03
Uralic,49.74±3.30,45.87±2.91,35.71±16.69,16.06±8.25
