language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,22.00±2.67,29.65±2.02,31.31±3.87,3.41±2.10
Austro-Asiatic,25.64±4.08,30.54±2.22,29.90±4.19,3.57±1.83
Austronesian,22.28±2.61,28.52±1.88,31.27±3.79,2.62±1.58
Indo-European (Germanic),21.22±3.25,28.00±2.53,29.46±4.37,3.03±1.67
Indo-European (Greek),23.96±2.18,27.95±2.47,30.63±3.54,2.24±1.28
Indo-European (Iranian),24.76±4.16,26.96±1.47,27.59±3.34,2.28±1.47
Indo-European (Romance),21.23±1.88,27.60±1.89,30.55±3.39,3.10±2.11
Sino-Tibetan,22.41±2.41,29.92±1.82,30.14±3.95,2.18±1.83
Slavic,21.89±2.82,27.91±2.65,32.18±4.12,3.13±1.76
Turkic,25.19±1.49,27.68±1.74,30.43±5.31,3.24±2.24
Uralic,21.94±2.66,28.61±2.62,30.97±3.61,3.46±1.90
