language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,1.86±2.47,14.60±2.69,30.23±2.72,0.00±0.00
Austro-Asiatic,1.52±2.30,15.15±5.52,29.20±1.35,0.00±0.00
Austronesian,1.70±2.41,14.55±3.47,29.25±3.32,0.00±0.00
Indo-European (Germanic),1.10±1.79,13.40±3.53,28.79±3.50,0.00±0.00
Indo-European (Greek),2.07±3.57,15.56±4.23,29.89±2.79,0.00±0.00
Indo-European (Iranian),1.93±1.86,12.40±4.76,28.93±3.22,0.14±0.34
Indo-European (Romance),1.58±2.26,14.50±3.17,29.72±3.18,0.00±0.00
Sino-Tibetan,1.38±1.54,11.16±3.57,31.68±3.68,0.00±0.00
Slavic,1.52±2.28,13.98±4.38,28.24±1.86,0.00±0.00
Turkic,1.38±2.26,12.81±3.50,31.54±2.18,0.00±0.00
Uralic,1.29±2.01,13.64±4.10,30.30±2.82,0.00±0.00
