language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,10.08±1.90,22.04±3.23,12.43±6.39,0.00±0.00
Austro-Asiatic,11.42±2.13,23.52±3.93,11.42±7.49,0.00±0.00
Austronesian,9.36±2.20,21.42±2.84,11.20±6.47,0.00±0.00
Indo-European (Germanic),8.45±2.65,20.80±3.43,10.23±5.01,0.00±0.00
Indo-European (Greek),9.95±2.73,18.95±2.49,8.87±5.99,0.00±0.00
Indo-European (Iranian),9.68±1.69,21.64±2.36,8.87±5.13,0.00±0.00
Indo-European (Romance),10.28±2.36,20.19±2.93,11.73±6.24,0.00±0.00
Sino-Tibetan,8.33±2.58,20.56±2.54,10.22±6.34,0.00±0.00
Slavic,9.74±2.44,18.88±3.05,11.96±7.03,0.00±0.00
Turkic,11.96±2.57,20.30±3.04,8.87±7.20,0.00±0.00
Uralic,9.45±1.63,20.16±2.91,9.45±5.70,0.04±0.19
