language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,18.25±7.37,39.25±3.41,10.25±8.08,3.25±5.97
Austro-Asiatic,23.50±7.12,42.17±2.32,7.50±7.01,4.83±8.86
Austronesian,19.33±6.22,41.00±4.59,7.50±7.47,3.89±7.15
Indo-European (Germanic),20.71±6.66,39.83±3.69,7.58±7.35,3.12±5.00
Indo-European (Greek),19.67±6.71,37.33±3.98,8.50±7.23,3.17±5.15
Indo-European (Iranian),19.50±7.06,36.33±1.51,8.83±7.63,3.17±6.40
Indo-European (Romance),21.33±6.61,40.88±4.23,8.00±8.06,3.33±5.57
Sino-Tibetan,18.33±7.28,39.83±2.48,7.00±5.40,3.50±6.12
Slavic,19.00±7.89,36.42±3.29,8.67±8.45,2.58±4.58
Turkic,15.17±6.71,40.00±3.69,7.17±7.60,2.83±5.60
Uralic,17.06±7.07,38.67±3.36,6.56±6.69,3.89±7.30
