language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,37.67±2.82,43.39±2.20,33.91±4.16,23.53±10.95
Austro-Asiatic,40.73±1.95,45.87±0.51,29.82±2.78,24.72±11.78
Austronesian,38.89±2.22,45.98±2.07,28.72±2.81,25.84±11.63
Indo-European (Germanic),39.57±1.94,44.96±1.76,27.85±5.60,23.32±8.77
Indo-European (Greek),36.54±1.07,42.08±0.58,31.18±2.35,21.20±9.13
Indo-European (Iranian),38.40±2.14,40.37±1.38,30.53±3.94,25.13±11.76
Indo-European (Romance),39.53±1.39,46.22±1.60,30.60±3.36,25.24±10.81
Sino-Tibetan,38.81±1.95,44.70±0.47,26.62±1.78,25.03±11.16
Slavic,38.99±3.07,41.39±0.85,31.38±2.64,21.92±8.43
Turkic,37.60±1.76,44.48±0.79,30.42±1.69,23.45±9.96
Uralic,37.31±1.34,43.58±2.57,27.82±2.63,24.73±9.47
