language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,15.43±4.78,37.67±2.31,37.78±2.10,2.67±1.52
Austro-Asiatic,15.93±5.14,38.15±1.80,39.67±0.98,2.23±1.25
Austronesian,15.05±4.63,37.56±1.88,39.03±1.26,1.77±1.13
Indo-European (Germanic),16.64±5.14,39.26±3.73,39.26±3.48,1.62±1.15
Indo-European (Greek),15.57±5.14,37.18±1.46,37.20±1.19,2.32±1.23
Indo-European (Iranian),15.32±5.33,37.32±1.46,38.83±1.23,3.18±1.72
Indo-European (Romance),16.73±4.55,38.27±1.60,37.10±8.17,1.88±1.37
Sino-Tibetan,14.38±5.32,37.28±1.54,39.87±1.23,1.60±0.96
Slavic,15.27±5.30,36.50±1.90,38.12±1.90,2.08±1.37
Turkic,14.57±4.61,36.98±1.50,36.63±1.90,2.07±1.40
Uralic,15.22±4.60,37.74±1.28,36.41±2.32,2.16±1.29
