language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,14.74±1.15,25.35±1.17,19.99±3.12,1.00±0.37
Austro-Asiatic,16.77±0.67,26.47±1.07,19.07±2.71,0.77±0.40
Austronesian,14.73±1.36,24.43±1.28,19.57±3.11,0.63±0.31
Indo-European (Germanic),13.39±2.01,24.24±2.14,17.86±2.46,0.70±0.35
Indo-European (Greek),15.61±0.86,22.78±0.60,18.09±3.19,0.67±0.17
Indo-European (Iranian),15.24±1.02,23.72±0.93,16.38±2.58,0.48±0.31
Indo-European (Romance),14.66±1.52,23.65±1.24,19.32±3.15,0.75±0.47
Sino-Tibetan,14.00±1.34,25.08±0.84,18.39±3.22,0.47±0.40
Slavic,13.96±0.99,23.06±1.52,20.02±3.27,0.77±0.34
Turkic,16.58±1.46,23.67±0.99,17.65±2.35,0.74±0.50
Uralic,14.61±0.97,23.81±0.99,18.22±2.93,0.95±0.32
