Model,Language,Temp,vul@1,in_vul@1,security@1,in_security@1,vul@3,in_vul@3,security@3,in_security@3,vul@5,in_vul@5,security@5,in_security@5
gemini-2.5-flash,English,0.0,20.48,36.9,78.57,61.9,21.43,39.88,78.57,60.71,21.43,40.48,78.57,59.52
gemini-2.5-flash,Malay,0.0,17.53,35.28,82.02,64.04,18.99,39.44,82.02,61.8,19.1,40.45,80.9,59.55
gemini-2.5-flash,Estonian,0.0,15.85,32.68,84.15,68.29,17.8,36.83,81.71,62.2,18.29,37.8,81.71,62.2
gemini-2.5-flash,Dutch,0.0,17.18,27.76,82.35,71.76,19.41,33.18,81.18,67.06,20.0,34.12,80.0,65.88
gemini-2.5-flash,Afrikaans,0.0,12.77,24.82,85.54,74.7,14.46,30.72,85.54,68.67,14.46,32.53,85.54,67.47
gemini-2.5-flash,Tagalog,0.0,21.67,37.86,78.57,59.52,25.83,45.48,73.81,53.57,26.19,46.43,73.81,53.57
gemini-2.5-flash,Russian,0.0,13.81,27.86,85.71,70.24,16.79,31.07,83.33,69.05,17.86,32.14,82.14,67.86
gemini-2.5-flash,Indonesian,0.0,17.98,33.03,82.02,66.29,19.66,38.09,79.78,60.67,20.22,39.33,79.78,60.67
gemini-2.5-flash,Vietnamese,0.0,20.0,35.12,79.27,65.85,24.39,40.24,76.83,62.2,25.61,41.46,74.39,58.54
gemini-2.5-flash,Bulgarian,0.0,13.9,28.78,85.37,70.73,15.61,31.34,84.15,68.29,15.85,31.71,84.15,68.29
gemini-2.5-flash,Persian,0.0,17.53,31.91,83.15,68.54,21.12,37.53,79.78,64.04,22.47,39.33,77.53,60.67
gemini-2.5-flash,Finnish,0.0,13.49,30.36,84.34,67.47,16.14,37.11,84.34,65.06,16.87,39.76,83.13,60.24
gemini-2.5-flash,Arabic,0.0,20.67,36.4,77.53,58.43,22.47,41.91,77.53,57.3,22.47,42.7,77.53,57.3
gemini-2.5-flash,French,0.0,16.47,29.41,82.35,68.24,17.53,31.88,82.35,68.24,17.65,32.94,82.35,67.06
gemini-2.5-flash,Spanish,0.0,14.75,29.25,85.0,70.0,16.25,33.25,83.75,67.5,16.25,33.75,83.75,66.25
gemini-2.5-flash,Hebrew,0.0,19.04,37.83,79.52,60.24,21.45,42.65,78.31,57.83,21.69,43.37,78.31,56.63
gemini-2.5-flash,Greek,0.0,17.88,28.71,81.18,69.41,19.53,31.88,81.18,68.24,20.0,32.94,80.0,67.06
gemini-2.5-flash,Hungarian,0.0,18.8,33.73,81.93,66.27,21.08,38.8,79.52,61.45,21.69,40.96,78.31,59.04
gemini-2.5-flash,Italian,0.0,20.92,30.8,77.01,66.67,23.68,34.71,75.86,64.37,24.14,35.63,75.86,64.37
gemini-2.5-flash,Turkish,0.0,18.0,32.0,80.0,65.0,19.75,36.75,80.0,62.5,20.0,37.5,80.0,62.5
gemini-2.5-flash,Portuguese,0.0,14.32,30.23,85.23,68.18,18.07,35.0,82.95,65.91,19.32,36.36,80.68,63.64
gemini-2.5-flash,German,0.0,20.69,33.33,79.31,68.97,23.56,39.54,75.86,59.77,24.14,41.38,75.86,58.62
gemini-2.5-flash,Chinese,0.0,13.9,30.0,86.59,70.73,17.93,38.41,81.71,62.2,18.29,40.24,81.71,59.76
gemini-2.5-flash,English,0.2,19.36,35.32,81.91,64.89,26.7,47.13,72.34,50.0,29.79,52.13,70.21,47.87
gemini-2.5-flash,Malay,0.2,16.25,33.12,82.29,62.5,24.48,46.15,75.0,53.12,29.17,52.08,70.83,47.92
gemini-2.5-flash,Estonian,0.2,16.77,33.76,82.8,63.44,22.9,44.09,76.34,54.84,24.73,48.39,75.27,51.61
gemini-2.5-flash,Dutch,0.2,18.53,31.37,82.11,67.37,25.47,44.53,74.74,53.68,28.42,49.47,71.58,50.53
gemini-2.5-flash,Afrikaans,0.2,12.04,25.81,89.25,73.12,18.39,37.63,81.72,61.29,21.51,43.01,78.49,56.99
gemini-2.5-flash,Tagalog,0.2,19.79,35.11,81.91,69.15,27.66,48.09,71.28,52.13,29.79,52.13,70.21,47.87
gemini-2.5-flash,German,0.2,15.16,28.84,85.26,71.58,20.74,40.63,80.0,55.79,23.16,46.32,76.84,53.68
gemini-2.5-flash,Chinese,0.2,12.0,21.89,84.21,71.58,19.05,35.26,82.11,64.21,22.11,42.11,77.89,57.89
gemini-2.5-flash,Russian,0.2,15.96,29.15,84.04,69.15,20.85,39.57,79.79,58.51,22.34,43.62,77.66,56.38
gemini-2.5-flash,Indonesian,0.2,16.73,32.65,79.59,61.22,25.0,46.33,73.47,52.04,29.59,53.06,70.41,46.94
gemini-2.5-flash,Vietnamese,0.2,17.66,32.98,84.04,67.02,25.96,44.79,72.34,54.26,28.72,47.87,71.28,52.13
gemini-2.5-flash,Bulgarian,0.2,13.68,26.95,86.32,71.58,20.11,36.84,78.95,62.11,23.16,41.05,76.84,58.95
gemini-2.5-flash,Persian,0.2,20.0,35.21,77.08,61.46,27.92,49.58,72.92,50.0,30.21,54.17,69.79,45.83
gemini-2.5-flash,Finnish,0.2,14.32,28.84,86.32,70.53,21.68,40.95,76.84,56.84,24.21,45.26,75.79,54.74
gemini-2.5-flash,Arabic,0.2,18.14,33.2,81.44,65.98,24.12,44.54,75.26,54.64,26.8,49.48,73.2,50.52
gemini-2.5-flash,French,0.2,15.0,29.79,86.46,70.83,19.9,40.52,79.17,59.38,20.83,43.75,79.17,56.25
gemini-2.5-flash,Spanish,0.2,17.42,30.97,84.95,72.04,24.52,44.19,73.12,53.76,27.96,50.54,72.04,49.46
gemini-2.5-flash,Hebrew,0.2,17.11,31.96,78.35,60.82,23.09,43.4,77.32,54.64,25.77,47.42,74.23,52.58
gemini-2.5-flash,Greek,0.2,16.63,29.68,83.16,71.58,22.53,41.79,76.84,56.84,23.16,45.26,76.84,54.74
gemini-2.5-flash,Hungarian,0.2,16.84,29.68,84.21,71.58,23.79,41.79,74.74,58.95,26.32,47.37,73.68,52.63
gemini-2.5-flash,Italian,0.2,17.05,27.58,83.16,71.58,21.89,37.37,78.95,62.11,23.16,41.05,76.84,58.95
gemini-2.5-flash,Turkish,0.2,17.26,32.84,80.0,61.05,23.47,44.53,76.84,56.84,25.26,48.42,74.74,51.58
gemini-2.5-flash,Portuguese,0.2,16.67,32.92,81.25,66.67,23.33,45.0,75.0,52.08,26.04,50.0,73.96,50.0
gemini-2.5-flash,English,0.4,22.8,37.63,76.34,62.37,29.68,50.43,68.82,48.39,33.33,56.99,66.67,43.01
gemini-2.5-flash,Malay,0.4,17.11,34.85,80.41,61.86,25.46,50.0,72.16,47.42,28.87,55.67,71.13,44.33
gemini-2.5-flash,Estonian,0.4,15.74,32.13,81.91,65.96,22.45,44.79,76.6,53.19,25.53,50.0,74.47,50.0
gemini-2.5-flash,Dutch,0.4,16.7,29.48,83.51,68.04,23.4,43.51,75.26,53.61,25.77,48.45,74.23,51.55
gemini-2.5-flash,Afrikaans,0.4,15.51,28.98,86.73,73.47,23.27,41.73,76.53,56.12,26.53,46.94,73.47,53.06
gemini-2.5-flash,Tagalog,0.4,18.37,32.65,77.55,62.24,28.06,50.51,71.43,45.92,32.65,59.18,67.35,40.82
gemini-2.5-flash,German,0.4,17.11,30.72,78.35,65.98,25.46,45.77,74.23,53.61,27.84,50.52,72.16,49.48
gemini-2.5-flash,Chinese,0.4,13.26,26.3,88.04,69.57,21.74,41.74,79.35,57.61,25.0,47.83,75.0,52.17
gemini-2.5-flash,Russian,0.4,17.23,31.49,81.91,65.96,22.13,41.6,76.6,56.38,23.4,44.68,76.6,55.32
gemini-2.5-flash,Indonesian,0.4,17.73,34.43,80.41,63.92,27.73,50.62,70.1,46.39,29.9,54.64,70.1,45.36
gemini-2.5-flash,Vietnamese,0.4,18.92,35.48,79.57,65.59,26.99,47.96,72.04,52.69,29.03,50.54,70.97,49.46
gemini-2.5-flash,Bulgarian,0.4,15.71,29.8,83.67,70.41,24.18,43.88,75.51,56.12,29.59,50.0,70.41,50.0
gemini-2.5-flash,Persian,0.4,19.79,35.83,80.21,61.46,26.15,48.33,73.96,51.04,28.12,53.12,71.88,46.88
gemini-2.5-flash,Finnish,0.4,12.34,26.6,87.23,72.34,17.77,36.81,81.91,62.77,20.21,41.49,79.79,58.51
gemini-2.5-flash,Arabic,0.4,18.97,34.02,81.44,61.86,26.29,46.7,72.16,49.48,30.93,53.61,69.07,46.39
gemini-2.5-flash,French,0.4,16.29,31.34,82.47,63.92,22.37,43.4,77.32,54.64,24.74,47.42,75.26,52.58
gemini-2.5-flash,Spanish,0.4,14.08,29.39,84.69,66.33,19.49,41.63,80.61,58.16,21.43,45.92,78.57,54.08
gemini-2.5-flash,Hebrew,0.4,17.35,31.84,80.61,63.27,25.0,46.22,75.51,54.08,27.55,50.0,72.45,50.0
gemini-2.5-flash,Greek,0.4,18.35,29.9,78.35,64.95,24.95,40.41,74.23,58.76,26.8,43.3,73.2,56.7
gemini-2.5-flash,Hungarian,0.4,17.92,32.71,78.12,61.46,27.6,47.29,73.96,54.17,32.29,54.17,67.71,45.83
gemini-2.5-flash,Italian,0.4,15.92,29.59,84.69,70.41,23.27,42.55,76.53,58.16,27.55,48.98,72.45,51.02
gemini-2.5-flash,Turkish,0.4,15.62,30.62,81.25,62.5,20.21,40.83,80.21,57.29,20.83,44.79,79.17,55.21
gemini-2.5-flash,Portuguese,0.4,16.04,29.58,82.29,63.54,24.06,43.12,75.0,55.21,28.12,48.96,71.88,51.04
gemini-2.5-flash,English,0.6,22.13,41.06,78.72,57.45,29.79,53.94,69.15,43.62,32.98,58.51,67.02,41.49
gemini-2.5-flash,Malay,0.6,17.66,33.19,80.85,64.89,26.49,49.26,72.34,48.94,30.85,55.32,69.15,44.68
gemini-2.5-flash,Estonian,0.6,16.49,34.02,83.51,63.92,25.77,48.66,71.13,45.36,30.93,56.7,69.07,43.3
gemini-2.5-flash,Dutch,0.6,17.32,28.45,80.41,67.01,26.49,42.78,73.2,54.64,30.93,49.48,69.07,50.52
gemini-2.5-flash,Afrikaans,0.6,16.12,29.18,81.63,65.31,25.51,44.49,73.47,55.1,28.57,48.98,71.43,51.02
gemini-2.5-flash,Tagalog,0.6,19.59,36.29,75.26,57.73,28.97,50.93,69.07,47.42,32.99,54.64,67.01,45.36
gemini-2.5-flash,German,0.6,15.71,28.16,80.61,66.33,23.27,41.33,74.49,59.18,26.53,47.96,73.47,52.04
gemini-2.5-flash,Chinese,0.6,14.79,28.12,86.46,68.75,22.6,42.6,78.12,57.29,26.04,48.96,73.96,51.04
gemini-2.5-flash,Russian,0.6,15.1,29.59,83.67,70.41,22.76,44.59,75.51,52.04,25.51,51.02,74.49,48.98
gemini-2.5-flash,Indonesian,0.6,18.97,35.26,80.41,61.86,27.01,49.07,72.16,49.48,29.9,53.61,70.1,46.39
gemini-2.5-flash,Vietnamese,0.6,18.98,34.29,79.59,63.27,28.57,48.67,71.43,53.06,31.63,53.06,68.37,46.94
gemini-2.5-flash,Bulgarian,0.6,13.47,29.39,86.73,69.39,22.35,41.94,74.49,54.08,26.53,46.94,73.47,53.06
gemini-2.5-flash,Persian,0.6,22.02,39.19,75.76,55.56,30.3,52.42,68.69,45.45,34.34,57.58,65.66,42.42
gemini-2.5-flash,Finnish,0.6,14.23,29.07,82.47,74.23,23.81,45.26,75.26,52.58,27.84,51.55,72.16,48.45
gemini-2.5-flash,Arabic,0.6,18.76,34.02,77.32,61.86,27.01,47.22,71.13,52.58,29.9,51.55,70.1,48.45
gemini-2.5-flash,French,0.6,16.81,31.49,85.11,69.15,26.17,47.13,74.47,52.13,29.79,53.19,70.21,46.81
gemini-2.5-flash,Spanish,0.6,15.71,30.61,82.65,65.31,24.39,46.84,75.51,51.02,28.57,54.08,71.43,45.92
gemini-2.5-flash,Hebrew,0.6,18.37,34.69,78.57,59.18,24.69,46.94,73.47,50.0,27.55,53.06,72.45,46.94
gemini-2.5-flash,Greek,0.6,16.53,29.18,80.61,62.24,23.67,43.06,74.49,52.04,26.53,50.0,73.47,50.0
gemini-2.5-flash,Hungarian,0.6,17.66,30.64,79.79,65.96,26.28,45.11,72.34,55.32,29.79,51.06,70.21,48.94
gemini-2.5-flash,Italian,0.6,17.11,31.55,81.44,67.01,25.46,45.98,74.23,52.58,28.87,51.55,71.13,48.45
gemini-2.5-flash,Turkish,0.6,17.53,32.99,80.41,62.89,25.67,47.94,72.16,48.45,28.87,54.64,71.13,45.36
gemini-2.5-flash,Portuguese,0.6,16.29,29.69,83.51,68.04,25.05,44.23,75.26,55.67,28.87,51.55,71.13,48.45
gemini-2.5-flash,English,0.8,20.21,40.0,76.84,54.74,28.21,54.21,69.47,43.16,31.58,60.0,68.42,40.0
gemini-2.5-flash,Malay,0.8,14.08,29.59,80.61,64.29,22.76,46.94,76.53,54.08,26.53,53.06,73.47,46.94
gemini-2.5-flash,Estonian,0.8,17.5,34.79,81.25,62.5,25.83,50.1,72.92,46.88,28.12,53.12,71.88,46.88
gemini-2.5-flash,Dutch,0.8,16.94,31.84,80.61,62.24,23.57,46.73,75.51,52.04,25.51,52.04,74.49,47.96
gemini-2.5-flash,Afrikaans,0.8,15.46,27.42,85.57,70.1,24.64,42.99,76.29,57.73,28.87,49.48,71.13,50.52
gemini-2.5-flash,Tagalog,0.8,17.76,32.65,83.67,67.35,26.84,49.08,71.43,48.98,30.61,55.1,69.39,44.9
gemini-2.5-flash,German,0.8,17.73,29.69,80.41,67.01,27.63,46.19,71.13,54.64,30.93,52.58,69.07,47.42
gemini-2.5-flash,Chinese,0.8,16.49,30.93,83.51,65.98,27.73,48.66,70.1,49.48,31.96,54.64,68.04,45.36
gemini-2.5-flash,Russian,0.8,15.88,31.96,85.57,65.98,23.61,45.88,76.29,52.58,26.8,50.52,73.2,49.48
gemini-2.5-flash,Indonesian,0.8,17.26,33.68,83.16,63.16,26.95,49.26,74.74,51.58,32.63,56.84,67.37,43.16
gemini-2.5-flash,Vietnamese,0.8,18.09,35.96,78.72,58.51,29.57,53.51,68.09,44.68,34.04,58.51,65.96,41.49
gemini-2.5-flash,Bulgarian,0.8,14.23,30.1,87.63,72.16,23.2,45.57,76.29,53.61,26.8,52.58,73.2,47.42
gemini-2.5-flash,Persian,0.8,18.98,35.92,81.63,62.24,26.33,49.29,73.47,48.98,28.57,53.06,71.43,46.94
gemini-2.5-flash,Finnish,0.8,15.1,31.63,79.59,64.29,22.45,46.02,76.53,53.06,26.53,52.04,73.47,47.96
gemini-2.5-flash,Arabic,0.8,18.33,32.29,81.25,66.67,26.98,47.81,73.96,53.12,30.21,52.08,69.79,47.92
gemini-2.5-flash,French,0.8,17.35,30.61,83.67,68.37,26.33,47.45,73.47,48.98,29.59,54.08,70.41,45.92
gemini-2.5-flash,Spanish,0.8,16.73,32.86,80.61,63.27,25.2,48.06,73.47,51.02,28.57,53.06,71.43,46.94
gemini-2.5-flash,Hebrew,0.8,19.18,34.85,79.38,59.79,28.45,49.69,70.1,46.39,31.96,55.67,68.04,44.33
gemini-2.5-flash,Greek,0.8,15.26,26.8,85.57,70.1,22.68,41.44,78.35,56.7,26.8,49.48,73.2,50.52
gemini-2.5-flash,Hungarian,0.8,15.62,29.38,83.33,71.88,24.06,44.69,77.08,57.29,28.12,51.04,71.88,48.96
gemini-2.5-flash,Italian,0.8,18.35,32.99,81.44,67.01,25.26,47.73,72.16,47.42,27.84,52.58,72.16,47.42
gemini-2.5-flash,Turkish,0.8,15.15,31.31,88.89,71.72,21.72,45.66,77.78,53.54,24.24,51.52,75.76,48.48
gemini-2.5-flash,Portuguese,0.8,14.69,28.57,82.65,67.35,23.88,44.49,72.45,54.08,27.55,50.0,72.45,50.0
gemini-2.5-flash,English,1.0,20.42,41.47,78.95,57.89,28.84,54.32,71.58,47.37,32.63,58.95,67.37,41.05
gemini-2.5-flash,Malay,1.0,13.81,31.13,81.44,65.98,21.55,47.22,75.26,48.45,24.74,53.61,75.26,46.39
gemini-2.5-flash,Estonian,1.0,14.64,32.16,83.51,60.82,24.33,48.66,75.26,49.48,27.84,53.61,72.16,46.39
gemini-2.5-flash,Dutch,1.0,18.56,31.96,80.41,60.82,27.53,47.84,69.07,48.45,31.96,54.64,68.04,45.36
gemini-2.5-flash,Afrikaans,1.0,14.43,29.28,88.66,72.16,22.89,44.64,74.23,51.55,27.84,51.55,72.16,48.45
gemini-2.5-flash,Tagalog,1.0,16.97,33.74,81.82,62.63,25.66,49.7,72.73,50.51,28.28,55.56,71.72,44.44
gemini-2.5-flash,German,1.0,17.29,32.08,80.21,65.62,27.92,49.48,72.92,53.12,32.29,57.29,67.71,42.71
gemini-2.5-flash,Chinese,1.0,14.74,28.84,85.26,72.63,23.37,43.37,75.79,56.84,27.37,49.47,72.63,50.53
gemini-2.5-flash,Russian,1.0,16.36,30.51,79.8,66.67,24.24,44.55,73.74,53.54,27.27,49.49,72.73,50.51
gemini-2.5-flash,Indonesian,1.0,17.73,35.05,82.47,61.86,27.32,51.44,73.2,50.52,30.93,58.76,69.07,41.24
gemini-2.5-flash,Vietnamese,1.0,16.94,33.67,82.65,63.27,26.12,49.08,72.45,50.0,30.61,55.1,69.39,44.9
gemini-2.5-flash,Bulgarian,1.0,16.25,32.71,81.25,63.54,26.88,50.21,73.96,51.04,29.17,54.17,70.83,45.83
gemini-2.5-flash,Persian,1.0,20.42,38.75,81.25,64.58,29.79,55.21,67.71,44.79,33.33,60.42,66.67,39.58
gemini-2.5-flash,Finnish,1.0,13.12,29.79,85.42,70.83,22.08,46.15,77.08,53.12,25.0,52.08,75.0,47.92
gemini-2.5-flash,Arabic,1.0,20.21,34.95,80.0,62.11,30.95,52.84,67.37,44.21,35.79,61.05,64.21,38.95
gemini-2.5-flash,French,1.0,17.02,33.83,84.04,68.09,25.74,48.51,75.53,52.13,29.79,54.26,70.21,45.74
gemini-2.5-flash,Spanish,1.0,15.42,31.25,82.29,64.58,25.21,48.23,72.92,48.96,29.17,55.21,70.83,44.79
