language_family,Qwen2.5,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,21.57±7.04,30.15±2.28,38.62±2.58,2.37±1.56
Austro-Asiatic,21.63±6.70,32.16±1.86,39.08±3.40,2.01±1.91
Austronesian,21.92±6.89,30.91±2.31,39.52±2.63,1.86±1.40
Indo-European (Germanic),20.88±6.71,30.06±2.79,39.05±2.91,1.89±1.48
Indo-European (Greek),22.76±7.78,31.06±2.39,38.14±2.17,2.25±1.59
Indo-European (Iranian),22.45±7.76,30.78±1.61,37.79±2.36,3.04±1.65
Indo-European (Romance),21.60±7.04,30.69±2.29,39.19±3.03,2.61±1.61
Sino-Tibetan,19.32±8.09,30.10±1.49,40.32±2.46,1.51±1.46
Slavic,21.30±6.59,30.77±1.60,36.65±2.62,1.87±1.26
Turkic,22.07±8.12,32.93±1.83,41.02±2.91,2.71±1.94
Uralic,22.31±6.93,32.08±2.24,39.48±2.58,2.14±1.44
