language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,29.87±2.87,35.59±1.89,24.05±11.51,2.61±2.24
Austro-Asiatic,29.42±3.69,34.91±4.30,24.04±11.95,4.38±4.04
Austronesian,28.01±3.61,35.74±2.31,24.31±11.39,4.15±3.54
Indo-European (Germanic),29.36±6.41,35.82±5.53,25.36±12.02,4.40±3.68
Indo-European (Greek),24.06±3.92,35.30±2.66,21.83±10.73,2.92±2.51
Indo-European (Iranian),29.67±3.83,34.71±2.52,23.28±11.76,3.94±2.96
Indo-European (Romance),27.11±4.10,35.32±2.71,25.83±11.95,4.44±3.92
Sino-Tibetan,27.41±4.97,38.60±1.07,29.92±14.80,3.65±3.16
Slavic,27.73±3.33,35.27±2.89,26.54±12.67,5.13±4.18
Turkic,27.02±4.45,32.96±1.78,25.01±12.35,4.16±3.17
Uralic,27.94±2.29,34.79±2.10,21.63±10.25,3.56±3.09
