language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,21.80±4.87,38.20±2.46,13.40±8.88,0.27±0.52
Austro-Asiatic,25.60±5.28,42.27±2.84,10.40±8.19,0.00±0.00
Austronesian,22.31±4.91,40.58±3.53,9.87±7.24,0.27±0.48
Indo-European (Germanic),24.03±4.86,39.57±2.62,9.70±7.51,0.27±0.51
Indo-European (Greek),22.93±4.87,37.20±3.15,9.33±6.55,0.13±0.33
Indo-European (Iranian),22.27±4.15,36.40±2.98,10.67±6.91,0.13±0.33
Indo-European (Romance),23.83±4.98,40.13±2.90,11.07±8.59,0.27±0.51
Sino-Tibetan,22.80±4.43,39.07±1.55,8.53±6.35,0.27±0.41
Slavic,23.67±5.13,36.33±2.03,10.40±7.90,0.60±0.77
Turkic,20.13±3.63,39.33±3.26,9.60±7.21,0.00±0.00
Uralic,21.38±5.25,39.20±2.65,8.93±6.53,0.36±0.63
