language_family,Model,Java_security@3,Python_security@3,Delta (Python-Java)
Afro-Asiatic,gemini-2.5-flash,10.08±1.90,21.80±4.87,11.72
Afro-Asiatic,gpt-4o-mini,22.04±3.23,38.20±2.46,16.16
Afro-Asiatic,qwen2.5,12.43±6.39,13.40±8.88,0.97
Afro-Asiatic,starcoder2,0.00±0.00,0.27±0.52,0.27
Austro-Asiatic,gemini-2.5-flash,11.42±2.13,25.60±5.28,14.18
Austro-Asiatic,gpt-4o-mini,23.52±3.93,42.27±2.84,18.75
Austro-Asiatic,qwen2.5,11.42±7.49,10.40±8.19,-1.02
Austro-Asiatic,starcoder2,0.00±0.00,0.00±0.00,0.0
Austronesian,gemini-2.5-flash,9.36±2.20,22.31±4.91,12.95
Austronesian,gpt-4o-mini,21.42±2.84,40.58±3.53,19.16
Austronesian,qwen2.5,11.20±6.47,9.87±7.24,-1.33
Austronesian,starcoder2,0.00±0.00,0.27±0.48,0.27
Indo-European (Germanic),gemini-2.5-flash,8.45±2.65,24.03±4.86,15.58
Indo-European (Germanic),gpt-4o-mini,20.80±3.43,39.57±2.62,18.77
Indo-European (Germanic),qwen2.5,10.23±5.01,9.70±7.51,-0.53
Indo-European (Germanic),starcoder2,0.00±0.00,0.27±0.51,0.27
Indo-European (Greek),gemini-2.5-flash,9.95±2.73,22.93±4.87,12.99
Indo-European (Greek),gpt-4o-mini,18.95±2.49,37.20±3.15,18.25
Indo-European (Greek),qwen2.5,8.87±5.99,9.33±6.55,0.46
Indo-European (Greek),starcoder2,0.00±0.00,0.13±0.33,0.13
Indo-European (Iranian),gemini-2.5-flash,9.68±1.69,22.27±4.15,12.59
Indo-European (Iranian),gpt-4o-mini,21.64±2.36,36.40±2.98,14.76
Indo-European (Iranian),qwen2.5,8.87±5.13,10.67±6.91,1.8
Indo-European (Iranian),starcoder2,0.00±0.00,0.13±0.33,0.13
Indo-European (Romance),gemini-2.5-flash,10.28±2.36,23.83±4.98,13.55
Indo-European (Romance),gpt-4o-mini,20.19±2.93,40.13±2.90,19.94
Indo-European (Romance),qwen2.5,11.73±6.24,11.07±8.59,-0.66
Indo-European (Romance),starcoder2,0.00±0.00,0.27±0.51,0.27
Sino-Tibetan,gemini-2.5-flash,8.33±2.58,22.80±4.43,14.47
Sino-Tibetan,gpt-4o-mini,20.56±2.54,39.07±1.55,18.5
Sino-Tibetan,qwen2.5,10.22±6.34,8.53±6.35,-1.68
Sino-Tibetan,starcoder2,0.00±0.00,0.27±0.41,0.27
Slavic,gemini-2.5-flash,9.74±2.44,23.67±5.13,13.92
Slavic,gpt-4o-mini,18.88±3.05,36.33±2.03,17.45
Slavic,qwen2.5,11.96±7.03,10.40±7.90,-1.56
Slavic,starcoder2,0.00±0.00,0.60±0.77,0.6
Turkic,gemini-2.5-flash,11.96±2.57,20.13±3.63,8.17
Turkic,gpt-4o-mini,20.30±3.04,39.33±3.26,19.04
Turkic,qwen2.5,8.87±7.20,9.60±7.21,0.73
Turkic,starcoder2,0.00±0.00,0.00±0.00,0.0
Uralic,gemini-2.5-flash,9.45±1.63,21.38±5.25,11.92
Uralic,gpt-4o-mini,20.16±2.91,39.20±2.65,19.04
Uralic,qwen2.5,9.45±5.70,8.93±6.53,-0.52
Uralic,starcoder2,0.04±0.19,0.36±0.63,0.31
