language_family,gemini-2.5-flash,gpt-4o-mini,qwen2.5,starcoder2
Afro-Asiatic,26.97±1.96,34.57±1.31,20.54±9.91,1.83±1.65
Austro-Asiatic,26.98±2.95,33.82±3.68,20.20±10.04,2.89±2.70
Austronesian,25.44±2.85,34.78±1.79,20.85±9.94,2.85±2.47
Indo-European (Germanic),26.76±5.71,34.92±5.41,21.71±10.34,2.97±2.58
Indo-European (Greek),21.84±3.09,34.19±1.99,18.55±9.29,1.98±1.85
Indo-European (Iranian),27.07±2.92,34.18±2.21,20.02±10.36,2.80±2.20
Indo-European (Romance),24.49±3.17,34.49±2.38,21.95±10.24,3.01±2.72
Sino-Tibetan,24.69±4.06,38.06±0.70,26.07±13.26,2.52±2.27
Slavic,25.20±2.54,34.26±2.47,22.94±11.15,3.58±3.05
Turkic,24.59±3.30,32.39±1.45,21.26±10.65,2.82±2.32
Uralic,25.68±1.60,33.79±1.63,18.23±8.79,2.41±2.13
