"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_0_French.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_0_French.py","19","29","19","41"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_1_German.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_1_German.py","15","18","15","25"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_1_Italian.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_1_Italian.py","16","29","16","31"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_1_Spanish.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_1_Spanish.py","24","30","24","33"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_2_Bulgarian.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_2_Bulgarian.py","23","25","23","65"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_2_French.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_2_French.py","18","25","18","38"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_English.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_English.py","17","26","17","33"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_Italian.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_Italian.py","12","26","12","29"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_Malayalam.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_Malayalam.py","19","29","19","34"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_Spanish.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_Spanish.py","23","20","23","22"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_Turkish.py:2:26:2:32""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_Turkish.py","14","53","14","59"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_3_Turkish.py:2:26:2:32""]].","/Tainted/CodeQL/codeql_cwe1236_0_3_Turkish.py","16","26","16","33"
"Csv Injection","From user-controlled data saved in CSV files, it is easy to attempt information disclosure or other malicious activities when automated by spreadsheet software","error","Csv injection might include code from [[""this user input""|""relative:///Tainted/CodeQL/codeql_cwe1236_0_4_Acehnese.py:3:19:3:25""]].","/Tainted/CodeQL/codeql_cwe1236_0_4_Acehnese.py","22","26","22","33"
