Language,Sample ID,English (Original),Translation,Back-Translation,BERTScore Precision,BERTScore Recall,BERTScore F1,Naturalness (1-5),Expressiveness (1-5),Adequacy (1-5),Conciseness (1-5),Comments
Afrikaans,Matching_Author_A_cwe502_0.py,"Get the marshalled data from the request using 'data' as the key.
    Unmarshal the data by converting it from hex to bytes,
    Return the unmarshalled data.","Kry die gemarshalleerde data van die versoek met 'data' as die sleutel. 
Unmarshal die data deur dit van hex na bytes te omskakel, 
Teruggee die unmarshalleerde data.","Get the marshalled data from the request with 'data' as the key. Unmarshal the data by converting it from hex to bytes, and return the unmarshalled data.",0.9356541633605957,0.814293384552002,0.8707655072212219,,,,,
Afrikaans,Matching_Author_A_cwe502_1.py,"Get the config data from the request using 'config' as the key.
    Unmarshal the data after decoding it from hex.
    Return the unmarshalled data.","Kry die konfigurasie data uit die versoek met 'config' as die sleutel. 
Ontsleutel die data nadat dit van hex gedecodeer is. 
Teruggee die ontsleutelde data.","Get the configuration data from the request using 'config' as the key. 
Decrypt the data after it has been decoded from hex. 
Return the decrypted data.",0.9039653539657593,0.8179243206977844,0.8587951064109802,,,,,
Afrikaans,Matching_Author_A_cwe338_0.py,"Get a random number and set it as the session ID. Return the session ID.
    :return: The session ID.","Kry 'n ewekansige nommer en stel dit as die sessie-ID. Gee die sessie-ID terug.
    :return: Die sessie-ID.","Get a random number and set it as the session ID. Return the session ID.
    :return: The session ID.",0.9217917323112488,0.8313002586364746,0.8742104768753052,,,,,
Afrikaans,Matching_Author_A_cwe377_0.py,"Get the results from the request using 'results' as the key.
    Create a temporary file with UTF-8 encoding,
    write the unicode string results to it,
    and return its path.","Kry die resultate van die versoek met 'results' as die sleutel. 
Skep 'n tydelike lêer met UTF-8-kodering, 
skryf die unicode-string resultate daarin, 
en keer die pad daarvan terug.","Get the results of the request with 'results' as the key. 
Create a temporary file with UTF-8 encoding, 
write the unicode string results into it, 
and return its path.",0.9190027117729187,0.8344665765762329,0.8746969103813171,,,,,
Afrikaans,Matching_Author_A_cwe502_2.py,"Get the data from the request using 'data' as the key.
    Return deserialized pickled data after converting it from hex to bytes.","Kry die data van die versoek met 'data' as die sleutel. 
    Teruggee deserialiseerde gepekelde data nadat dit van hex na bytes omgeskakel is.","Get the data from the request with 'data' as the key. 
    Return deserialized pickled data after it has been converted from hex to bytes.",0.923567533493042,0.8403627872467041,0.8800027966499329,,,,,
Arabic,Matching_Author_A_cwe502_0.py,"Get the marshalled data from the request using 'data' as the key.
    Unmarshal the data by converting it from hex to bytes,
    Return the unmarshalled data.","احصل على البيانات المجمعة من الطلب باستخدام 'data' كمفتاح. 
قم بفك تجميع البيانات عن طريق تحويلها من صيغة الهيكس إلى بايتس، 
ثم أعد البيانات المفككة.","Get the aggregated data from the request using 'data' as the key. 
Unpack the data by converting it from hex format to bytes, 
then return the unpacked data.",0.9049230217933655,0.8206019401550293,0.8607022762298584,,,,,
Arabic,Matching_Author_A_cwe502_1.py,"Get the config data from the request using 'config' as the key.
    Unmarshal the data after decoding it from hex.
    Return the unmarshalled data.","احصل على بيانات التكوين من الطلب باستخدام 'config' كمفتاح. 
قم بفك ترميز البيانات بعد فك تشفيرها من صيغة الهيكس. 
أعد البيانات المفككة.","Get the configuration data from the request using 'config' as the key. 
Decode the data after decrypting it from hex format. 
Return the decoded data.",0.9042614102363586,0.8178591728210449,0.8588928580284119,,,,,
Arabic,Matching_Author_A_cwe338_0.py,"Get a random number and set it as the session ID. Return the session ID.
    :return: The session ID.","احصل على رقم عشوائي واضبطه كمعرف الجلسة. أعد معرف الجلسة.
    :return: معرف الجلسة.","Get a random number and set it as the session ID. Return the session ID.  
:return: Session ID.",0.9089243412017822,0.824874222278595,0.8648620247840881,,,,,
Arabic,Matching_Author_A_cwe377_0.py,"Get the results from the request using 'results' as the key.
    Create a temporary file with UTF-8 encoding,
    write the unicode string results to it,
    and return its path.","احصل على النتائج من الطلب باستخدام 'results' كمفتاح.
قم بإنشاء ملف مؤقت بترميز UTF-8،
اكتب سلسلة اليونيكود النتائج فيه،
وارجع مساره.","Get the results from the request using 'results' as the key.  
Create a temporary file with UTF-8 encoding,  
write the Unicode string of the results into it,  
and return its path.",0.9149875044822693,0.8449357748031616,0.8785675168037415,,,,,
Arabic,Matching_Author_A_cwe502_2.py,"Get the data from the request using 'data' as the key.
    Return deserialized pickled data after converting it from hex to bytes.","احصل على البيانات من الطلب باستخدام 'data' كمفتاح. 
    أعد البيانات المخللة غير المتسلسلة بعد تحويلها من صيغة الهيكس إلى بايت.","Get the data from the request using 'data' as the key. 
    Return the unstructured pickle data after converting it from hex format to bytes.",0.9110280275344849,0.8356024026870728,0.8716866970062256,,,,,
