file,cwe,cve
GitHub_cwe020_0.py,CWE-020,CVE-2019-18348
GitHub_cwe020_1.py,CWE-020,CVE-2022-29217
GitHub_cwe022_0.py,CWE-022,CVE-2007-4559
GitHub_cwe022_1.py,CWE-022,CVE-2001-1267
GitHub_cwe078_0.py,CWE-078,CVE-2015-20107
GitHub_cwe078_1.py,CWE-078,CVE-2024-3121
GitHub_cwe079_0.py,CWE-079,CVE-2016-10516
GitHub_cwe079_1.py,CWE-079,CVE-2016-10516
GitHub_cwe089_0.py,CWE-089,CVE-2022-28346
GitHub_cwe089_1.py,CWE-089,CVE-2026-32714
GitHub_cwe094_0.py,CWE-094,CVE-2022-45061
GitHub_cwe116_0.py,CWE-116,CVE-2018-5773
GitHub_cwe200_0.py,CWE-200,CVE-2015-5306
GitHub_cwe200_1.py,CWE-200,CVE-2023-46136
GitHub_cwe295_0.py,CWE-295,CVE-2018-18074
GitHub_cwe327_0.py,CWE-327,CVE-2015-9235
GitHub_cwe327_1.py,CWE-327,CVE-2019-15795
GitHub_cwe400_0.py,CWE-400,CVE-2021-43854
GitHub_cwe434_0.py,CWE-434,CVE-2020-18704
GitHub_cwe502_0.py,CWE-502,CVE-2019-20907
GitHub_cwe502_1.py,CWE-502,CVE-2017-18342
GitHub_cwe601_0.py,CWE-601,CVE-2020-13258
GitHub_cwe611_0.py,CWE-611,CVE-2020-27619
GitHub_cwe798_0.py,CWE-798,CVE-2023-5456
GitHub_cwe918_0.py,CWE-918,CVE-2024-47167
