"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java:20:13:43:13""]], which is defined in [[""GitHub_cwe295_0_106_Portuguese$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java:20:17:20:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java","19","24","44","9"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java:30:13:36:13""]], which is defined in [[""GitHub_cwe295_0_106_Portuguese$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java:30:17:30:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_106/GitHub_cwe295_0_106_Portuguese.java","29","24","37","9"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java:17:43:37:9""]], which is defined in [[""GitHub_cwe295_0_109_Portuguese$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java:17:47:17:62""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java","17","24","37","10"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java:26:43:34:9""]], which is defined in [[""GitHub_cwe295_0_109_Portuguese$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java:26:47:26:62""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_109/GitHub_cwe295_0_109_Portuguese.java","26","24","34","10"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java:19:54:44:13""]], which is defined in [[""GitHub_cwe295_0_124_German$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java:19:58:19:73""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java","19","35","44","14"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java:30:54:38:13""]], which is defined in [[""GitHub_cwe295_0_124_German$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java:30:58:30:73""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_124/GitHub_cwe295_0_124_German.java","30","35","38","14"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java:30:13:36:13""]], which is defined in [[""GitHub_cwe295_0_128_German$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java:30:17:30:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java","38","31","38","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java:20:13:44:13""]], which is defined in [[""GitHub_cwe295_0_128_German$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java:20:17:20:32""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_128/GitHub_cwe295_0_128_German.java","46","31","46","43"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java:34:17:44:17""]], which is defined in [[""GitHub_cwe295_0_146_Arabic$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java:34:21:34:36""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java","46","28","46","40"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java:20:17:53:17""]], which is defined in [[""GitHub_cwe295_0_146_Arabic$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java:20:21:20:36""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_146/GitHub_cwe295_0_146_Arabic.java","55","28","55","40"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java:26:55:34:5""]], which is defined in [[""GitHub_cwe295_0_155_Malay$$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java:26:59:26:74""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java","35","24","35","36"
"`TrustManager` that accepts all certificates","Trusting all certificates allows an attacker to perform a machine-in-the-middle attack.","error","This uses [[""TrustManager""|""relative:///com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java:17:55:38:5""]], which is defined in [[""GitHub_cwe295_0_155_Malay$""|""relative:///com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java:17:59:17:74""]] and trusts any certificate.","/com/sallm/GitHub/GitHub/p_14_f_155/GitHub_cwe295_0_155_Malay.java","39","24","39","36"
