"Weak or unknown asymmetric padding","","error","Use of unapproved, weak, or unknown asymmetric padding algorithm or API: UNKNOWN","/Tainted/Author/A_cwe347_0_95_Estonian.py","31","12","31","70"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for iv""|""relative:///Matching/StackOverflow/SO_cwe327_0_169_Hungarian.py:14:48:14:49""]]","/Matching/StackOverflow/SO_cwe327_0_169_Hungarian.py","14","38","14","50"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for BinaryExpr""|""relative:///Tainted/CodeQL/codeql_cwe347_0_89_Hungarian.py:17:52:17:65""]]","/Tainted/CodeQL/codeql_cwe347_0_89_Hungarian.py","17","42","17","66"
"Weak block mode IV or nonce","Finds initialization vectors or nonces used by block modes that are weak, obsolete, or otherwise unaccepted. Looks for IVs or nonces that are not generated by a cryptographically secure random number generator NOTE: for simplicity, if an IV or nonce is not known or not form os.urandom it is flagged. More specific considerations, such as correct use of nonces are currently not handled. In particular, GCM requires the use of a nonce. Using urandom is possible but may still be configured incorrectly. We currently assume that GCM is flagged as a block mode regardless through a separate query, and such uses will need to be reivewed by the crypto board. Additionally, some functions, which infer a mode and IV may be flagged by this query. For now, we will rely on users suppressing these cases rather than filtering them out. The exception is Fernet, which is explicitly ignored since it's implementation uses os.urandom.","error","Block mode is not using an accepted IV/Nonce initialization: [[""ControlFlowNode for Str""|""relative:///Matching/CodeQL/codeql_cwe502_0_45_Dutch.py:10:10:10:28""]]","/Matching/CodeQL/codeql_cwe502_0_45_Dutch.py","12","42","12","54"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_104_German.py","14","27","14","37"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_105_German.py","16","19","16","29"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_115_Chinese.py","17","22","17","32"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API SHA1.","/Matching/Author/A_cwe327_0_128_Tagalog.py","16","17","16","28"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_12_Italian.py","16","27","16","37"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_132_Russian.py","20","16","20","26"
"Weak hashes","Finds uses of cryptography algorithms that are unapproved or otherwise weak.","error","Use of unapproved hash algorithm or API MD5.","/Matching/Author/A_cwe327_0_146_Turkish.py","17","24","17","34"
