model,Language,dataset,vul_at_k@1,vul_at_k@3,vul_at_k@5,in_vul_at_k@1,in_vul_at_k@3,in_vul_at_k@5,new_security_at_k@1,new_security_at_k@3,new_security_at_k@5,in_new_security_at_k@1,in_new_security_at_k@3,in_new_security_at_k@5
multi-dataset_Qwen,Acehnese,0.0,18.30985915492958,18.30985915492958,18.30985915492958,28.169014084507044,28.169014084507044,28.169014084507044,81.69014084507043,81.69014084507043,81.69014084507043,71.83098591549296,71.83098591549296,71.83098591549296
multi-dataset_Qwen,Hebrew,0.0,9.090909090909092,9.090909090909092,9.090909090909092,13.636363636363635,13.636363636363635,13.636363636363635,90.9090909090909,90.9090909090909,90.9090909090909,86.36363636363636,86.36363636363636,86.36363636363636
multi-dataset_Qwen,Vietnamese,0.0,9.090909090909092,9.090909090909092,9.090909090909092,15.909090909090908,15.909090909090908,15.909090909090908,90.9090909090909,90.9090909090909,90.9090909090909,84.0909090909091,84.0909090909091,84.0909090909091
multi-dataset_Qwen,Indonesian,0.0,13.043478260869565,13.043478260869565,13.043478260869565,19.565217391304348,19.565217391304348,19.565217391304348,86.95652173913044,86.95652173913044,86.95652173913044,80.43478260869566,80.43478260869566,80.43478260869566
multi-dataset_Qwen,Malayalam,0.0,5.333333333333334,5.333333333333334,5.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334,94.66666666666667,94.66666666666667,94.66666666666667,90.66666666666666,90.66666666666666,90.66666666666666
multi-dataset_Qwen,Tagalog,0.0,13.333333333333334,13.333333333333334,13.333333333333334,17.77777777777778,17.77777777777778,17.77777777777778,86.66666666666667,86.66666666666667,86.66666666666667,82.22222222222221,82.22222222222221,82.22222222222221
multi-dataset_Qwen,Dutch,0.0,17.77777777777778,17.77777777777778,17.77777777777778,25.555555555555554,25.555555555555554,25.555555555555554,82.22222222222221,82.22222222222221,82.22222222222221,74.44444444444444,74.44444444444444,74.44444444444444
multi-dataset_Qwen,German,0.0,14.130434782608695,14.130434782608695,14.130434782608695,19.565217391304348,19.565217391304348,19.565217391304348,85.86956521739131,85.86956521739131,85.86956521739131,80.43478260869566,80.43478260869566,80.43478260869566
multi-dataset_Qwen,Afrikaans,0.0,7.228915662650602,7.228915662650602,7.228915662650602,14.457831325301203,14.457831325301203,14.457831325301203,92.7710843373494,92.7710843373494,92.7710843373494,85.54216867469879,85.54216867469879,85.54216867469879
multi-dataset_Qwen,Portuguese,0.0,9.63855421686747,9.63855421686747,9.63855421686747,12.048192771084338,12.048192771084338,12.048192771084338,90.36144578313254,90.36144578313254,90.36144578313254,87.95180722891565,87.95180722891565,87.95180722891565
multi-dataset_Qwen,Spanish,0.0,11.956521739130435,11.956521739130435,11.956521739130435,16.304347826086957,16.304347826086957,16.304347826086957,88.04347826086956,88.04347826086956,88.04347826086956,83.69565217391305,83.69565217391305,83.69565217391305
multi-dataset_Qwen,French,0.0,5.681818181818182,5.681818181818182,5.681818181818182,7.954545454545454,7.954545454545454,7.954545454545454,94.31818181818183,94.31818181818183,94.31818181818183,92.04545454545455,92.04545454545455,92.04545454545455
multi-dataset_Qwen,Italian,0.0,11.578947368421053,11.578947368421053,11.578947368421053,18.947368421052634,18.947368421052634,18.947368421052634,88.42105263157895,88.42105263157895,88.42105263157895,81.05263157894737,81.05263157894737,81.05263157894737
multi-dataset_Qwen,Greek,0.0,7.6923076923076925,7.6923076923076925,7.6923076923076925,15.384615384615385,15.384615384615385,15.384615384615385,92.3076923076923,92.3076923076923,92.3076923076923,84.61538461538461,84.61538461538461,84.61538461538461
multi-dataset_Qwen,Western Persian,0.0,15.555555555555555,15.555555555555555,15.555555555555555,24.444444444444443,24.444444444444443,24.444444444444443,84.44444444444444,84.44444444444444,84.44444444444444,75.55555555555556,75.55555555555556,75.55555555555556
multi-dataset_Qwen,Russian,0.0,12.087912087912088,12.087912087912088,12.087912087912088,18.681318681318682,18.681318681318682,18.681318681318682,87.91208791208791,87.91208791208791,87.91208791208791,81.31868131868131,81.31868131868131,81.31868131868131
multi-dataset_Qwen,Bulgarian,0.0,21.176470588235293,21.176470588235293,21.176470588235293,27.058823529411764,27.058823529411764,27.058823529411764,78.82352941176471,78.82352941176471,78.82352941176471,72.94117647058823,72.94117647058823,72.94117647058823
multi-dataset_Qwen,Chinese,0.0,13.333333333333334,13.333333333333334,13.333333333333334,16.666666666666664,16.666666666666664,16.666666666666664,86.66666666666667,86.66666666666667,86.66666666666667,83.33333333333334,83.33333333333334,83.33333333333334
multi-dataset_Qwen,Turkish,0.0,8.51063829787234,8.51063829787234,8.51063829787234,14.893617021276595,14.893617021276595,14.893617021276595,91.48936170212765,91.48936170212765,91.48936170212765,85.1063829787234,85.1063829787234,85.1063829787234
