language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,53.41±0.00,47.73±0.00,17.05±0.00
Afro-Asiatic,0.2,0.00±0.00,53.41±0.00,45.45±0.00,9.09±0.00
Afro-Asiatic,0.4,0.00±0.00,53.41±0.00,44.32±0.00,3.41±0.00
Afro-Asiatic,0.6,0.00±0.00,52.27±0.00,38.64±0.00,1.14±0.00
Afro-Asiatic,0.8,0.00±0.00,51.14±0.00,35.23±0.00,0.00±0.00
Afro-Asiatic,1.0,0.00±0.00,48.86±0.00,36.36±0.00,0.00±0.00
Austro-Asiatic,0.0,0.00±0.00,53.41±0.00,47.73±0.00,28.41±0.00
Austro-Asiatic,0.2,0.00±0.00,52.27±0.00,40.91±0.00,12.50±0.00
Austro-Asiatic,0.4,0.00±0.00,52.27±0.00,42.05±0.00,4.55±0.00
Austro-Asiatic,0.6,0.00±0.00,50.00±0.00,35.23±0.00,4.55±0.00
Austro-Asiatic,0.8,0.00±0.00,52.27±0.00,38.64±0.00,0.00±0.00
Austro-Asiatic,1.0,0.00±0.00,46.59±0.00,35.23±0.00,0.00±0.00
Austronesian,0.0,3.01±0.92,49.40±1.19,41.17±3.05,22.93±4.75
Austronesian,0.2,0.00±0.00,47.55±1.06,40.41±3.81,10.54±5.66
Austronesian,0.4,0.00±0.00,47.25±0.75,39.68±3.01,4.74±1.67
Austronesian,0.6,0.00±0.00,45.87±1.79,36.73±2.73,0.83±1.06
Austronesian,0.8,0.00±0.00,45.66±1.44,35.47±2.58,0.00±0.00
Austronesian,1.0,0.00±0.00,45.03±1.92,34.34±3.65,0.00±0.00
Indo-European (Germanic),0.0,2.82±2.98,49.25±1.76,43.72±4.50,20.88±2.16
Indo-European (Germanic),0.2,0.30±0.60,48.71±2.69,40.43±3.77,9.82±2.29
Indo-European (Germanic),0.4,0.00±0.00,48.98±1.90,39.10±2.95,3.00±0.42
Indo-European (Germanic),0.6,0.00±0.00,47.10±1.30,37.99±2.99,1.37±1.37
Indo-European (Germanic),0.8,0.00±0.00,46.88±1.45,35.00±2.24,0.00±0.00
Indo-European (Germanic),1.0,0.00±0.00,46.50±1.42,31.95±3.19,0.00±0.00
Indo-European (Greek),0.0,1.10±0.00,53.85±0.00,40.66±0.00,18.68±0.00
Indo-European (Greek),0.2,0.00±0.00,50.55±0.00,39.56±0.00,8.79±0.00
Indo-European (Greek),0.4,0.00±0.00,49.45±0.00,36.26±0.00,1.10±0.00
Indo-European (Greek),0.6,0.00±0.00,48.35±0.00,37.36±0.00,0.00±0.00
Indo-European (Greek),0.8,0.00±0.00,49.45±0.00,31.87±0.00,0.00±0.00
Indo-European (Greek),1.0,0.00±0.00,47.25±0.00,27.47±0.00,0.00±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,49.37±3.09,40.75±2.60,23.05±4.06
Indo-European (Romance),0.2,0.00±0.00,49.65±3.47,37.37±4.44,9.15±1.81
Indo-European (Romance),0.4,0.00±0.00,48.28±1.77,34.57±4.90,3.09±1.08
Indo-European (Romance),0.6,0.00±0.00,47.20±1.18,34.04±4.28,0.87±1.14
Indo-European (Romance),0.8,0.00±0.00,46.62±1.77,31.47±3.83,0.00±0.00
Indo-European (Romance),1.0,0.00±0.00,45.22±3.05,26.78±1.42,0.00±0.00
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,25.56±0.00
Sino-Tibetan,0.2,1.11±0.00,45.56±0.00,41.11±0.00,16.67±0.00
Sino-Tibetan,0.4,0.00±0.00,45.56±0.00,40.00±0.00,6.67±0.00
Sino-Tibetan,0.6,0.00±0.00,45.56±0.00,38.89±0.00,0.00±0.00
Sino-Tibetan,0.8,0.00±0.00,45.56±0.00,38.89±0.00,0.00±0.00
Sino-Tibetan,1.0,0.00±0.00,45.56±0.00,36.67±0.00,0.00±0.00
Slavic,0.0,1.10±1.55,49.98±0.80,34.80±5.70,24.99±0.40
Slavic,0.2,0.00±0.00,49.43±0.03,34.21±4.86,11.22±5.89
Slavic,0.4,0.00±0.00,49.43±0.03,30.87±7.92,2.79±2.28
Slavic,0.6,0.00±0.00,50.57±0.03,29.07±3.81,0.59±0.83
Slavic,0.8,0.00±0.00,47.71±0.91,28.52±4.59,0.00±0.00
Slavic,1.0,0.00±0.00,47.74±0.69,26.28±6.09,0.00±0.00
Turkic,0.0,3.19±0.00,53.19±0.00,40.43±0.00,23.40±0.00
Turkic,0.2,0.00±0.00,52.13±0.00,39.36±0.00,8.51±0.00
Turkic,0.4,0.00±0.00,51.06±0.00,38.30±0.00,3.19±0.00
Turkic,0.6,0.00±0.00,51.06±0.00,34.04±0.00,1.06±0.00
Turkic,0.8,0.00±0.00,48.94±0.00,31.91±0.00,1.06±0.00
Turkic,1.0,0.00±0.00,50.00±0.00,29.79±0.00,0.00±0.00
Uralic,0.0,0.73±0.64,52.26±1.06,44.90±3.34,23.39±4.58
Uralic,0.2,0.00±0.00,51.18±2.07,43.84±5.16,9.96±3.44
Uralic,0.4,0.00±0.00,49.67±1.39,43.78±3.28,5.09±3.85
Uralic,0.6,0.00±0.00,48.91±3.20,40.09±4.73,1.82±1.16
Uralic,0.8,0.00±0.00,48.90±0.96,37.93±6.90,0.00±0.00
Uralic,1.0,0.00±0.00,48.05±2.16,33.28±4.05,0.00±0.00
