language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,54.46±0.00,49.45±0.00,21.09±0.00
Afro-Asiatic,0.2,2.24±0.00,54.57±0.00,49.88±0.00,30.91±0.00
Afro-Asiatic,0.4,6.98±0.00,55.30±0.00,50.91±0.00,34.19±0.00
Afro-Asiatic,0.6,7.05±0.00,55.91±0.00,52.09±0.00,31.10±0.00
Afro-Asiatic,0.8,10.99±0.00,55.58±0.00,51.87±0.00,19.77±0.00
Afro-Asiatic,1.0,10.35±0.00,55.40±0.00,53.35±0.00,18.07±0.00
Austro-Asiatic,0.0,0.00±0.00,55.07±0.00,50.95±0.00,30.59±0.00
Austro-Asiatic,0.2,3.80±0.00,55.46±0.00,51.58±0.00,37.89±0.00
Austro-Asiatic,0.4,7.32±0.00,54.97±0.00,52.11±0.00,40.09±0.00
Austro-Asiatic,0.6,9.77±0.00,55.64±0.00,51.58±0.00,36.33±0.00
Austro-Asiatic,0.8,12.59±0.00,55.99±0.00,52.17±0.00,24.01±0.00
Austro-Asiatic,1.0,11.77±0.00,57.00±0.00,52.59±0.00,25.95±0.00
Austronesian,0.0,3.01±0.92,50.64±0.77,43.27±3.11,25.51±5.53
Austronesian,0.2,4.52±0.59,50.90±0.52,44.72±2.94,35.57±4.49
Austronesian,0.4,7.04±1.22,51.66±1.07,45.38±2.62,37.52±3.34
Austronesian,0.6,9.05±2.37,51.82±1.11,47.13±2.81,36.70±4.22
Austronesian,0.8,12.14±1.83,53.07±0.97,48.02±2.09,25.56±2.22
Austronesian,1.0,13.21±1.79,52.24±1.57,47.70±2.47,22.11±3.01
Indo-European (Germanic),0.0,2.82±2.98,50.65±1.76,46.26±4.49,21.62±1.76
Indo-European (Germanic),0.2,5.66±1.49,51.15±1.49,46.68±4.77,33.56±1.33
Indo-European (Germanic),0.4,10.85±2.10,51.85±1.90,47.87±3.98,37.53±0.87
Indo-European (Germanic),0.6,10.81±1.08,52.24±1.42,48.45±3.84,35.58±1.16
Indo-European (Germanic),0.8,11.89±1.24,52.28±1.04,48.78±3.93,19.93±0.76
Indo-European (Germanic),1.0,12.94±1.18,52.82±1.44,48.44±4.57,23.39±1.84
Indo-European (Greek),0.0,1.10±0.00,54.95±0.00,42.67±0.00,22.31±0.00
Indo-European (Greek),0.2,5.08±0.00,55.32±0.00,44.52±0.00,31.59±0.00
Indo-European (Greek),0.4,4.98±0.00,54.49±0.00,43.94±0.00,35.54±0.00
Indo-European (Greek),0.6,8.13±0.00,55.24±0.00,47.30±0.00,35.71±0.00
Indo-European (Greek),0.8,10.78±0.00,55.95±0.00,47.85±0.00,20.12±0.00
Indo-European (Greek),1.0,11.38±0.00,54.79±0.00,47.03±0.00,21.23±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,50.96±3.01,43.23±1.97,25.81±3.16
Indo-European (Romance),0.2,5.74±1.22,51.88±1.90,43.32±2.13,35.27±1.64
Indo-European (Romance),0.4,8.26±0.70,52.12±1.20,44.99±1.61,37.33±1.37
Indo-European (Romance),0.6,13.02±1.64,52.92±1.49,45.75±1.19,34.01±2.24
Indo-European (Romance),0.8,13.32±2.29,53.49±0.90,47.14±1.76,23.21±2.22
Indo-European (Romance),1.0,13.26±1.45,53.53±0.54,46.63±2.17,24.63±1.55
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,26.34±0.00
Sino-Tibetan,0.2,2.04±0.00,45.97±0.00,47.86±0.00,33.02±0.00
Sino-Tibetan,0.4,7.97±0.00,46.98±0.00,46.32±0.00,37.66±0.00
Sino-Tibetan,0.6,9.08±0.00,49.15±0.00,46.53±0.00,33.69±0.00
Sino-Tibetan,0.8,12.21±0.00,49.13±0.00,46.77±0.00,17.35±0.00
Sino-Tibetan,1.0,12.51±0.00,50.60±0.00,48.15±0.00,25.51±0.00
Slavic,0.0,1.10±1.55,51.59±0.05,37.49±3.90,25.98±0.42
Slavic,0.2,3.93±0.79,52.03±0.35,38.76±5.37,36.33±0.45
Slavic,0.4,8.39±0.31,52.69±0.27,41.11±4.23,37.03±0.56
Slavic,0.6,8.67±1.32,52.74±0.43,41.56±3.03,35.07±2.11
Slavic,0.8,12.64±0.82,53.21±0.87,41.37±3.17,19.68±1.16
Slavic,1.0,14.58±0.78,54.25±0.26,41.74±3.77,18.51±2.90
Turkic,0.0,3.19±0.00,53.19±0.00,43.63±0.00,23.40±0.00
Turkic,0.2,3.83±0.00,54.75±0.00,44.43±0.00,33.96±0.00
Turkic,0.4,6.99±0.00,54.26±0.00,44.34±0.00,40.30±0.00
Turkic,0.6,9.75±0.00,55.45±0.00,47.55±0.00,35.70±0.00
Turkic,0.8,12.08±0.00,54.31±0.00,46.98±0.00,20.16±0.00
Turkic,1.0,12.18±0.00,54.94±0.00,47.62±0.00,24.78±0.00
Uralic,0.0,0.73±0.64,53.70±1.70,47.46±3.59,24.44±5.32
Uralic,0.2,4.94±0.22,54.14±2.07,48.71±4.83,34.94±2.53
Uralic,0.4,8.38±1.93,54.26±1.77,49.20±3.94,38.93±1.56
Uralic,0.6,7.65±2.52,54.31±1.42,49.34±3.88,37.67±2.69
Uralic,0.8,12.05±1.72,54.65±1.51,50.03±3.93,24.53±1.99
Uralic,1.0,12.66±2.32,54.83±2.13,50.10±3.58,23.29±3.69
