language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,53.98±0.00,48.52±0.00,19.32±0.00
Afro-Asiatic,0.2,1.14±0.00,53.84±0.00,48.07±0.00,21.59±0.00
Afro-Asiatic,0.4,2.73±0.00,54.12±0.00,48.18±0.00,20.23±0.00
Afro-Asiatic,0.6,2.50±0.00,54.83±0.00,47.84±0.00,16.02±0.00
Afro-Asiatic,0.8,4.20±0.00,53.84±0.00,45.91±0.00,7.84±0.00
Afro-Asiatic,1.0,3.75±0.00,53.27±0.00,47.05±0.00,7.16±0.00
Austro-Asiatic,0.0,0.00±0.00,54.12±0.00,50.11±0.00,29.89±0.00
Austro-Asiatic,0.2,1.36±0.00,54.40±0.00,47.73±0.00,28.30±0.00
Austro-Asiatic,0.4,2.73±0.00,54.26±0.00,48.41±0.00,26.14±0.00
Austro-Asiatic,0.6,3.64±0.00,54.12±0.00,46.70±0.00,21.48±0.00
Austro-Asiatic,0.8,4.66±0.00,54.12±0.00,47.16±0.00,10.23±0.00
Austro-Asiatic,1.0,4.32±0.00,54.40±0.00,46.48±0.00,11.82±0.00
Austronesian,0.0,3.01±0.92,49.97±0.63,42.45±3.06,24.37±5.15
Austronesian,0.2,2.10±0.24,49.77±0.57,42.64±2.96,25.15±5.08
Austronesian,0.4,2.89±0.69,49.80±0.87,42.60±2.59,23.72±3.58
Austronesian,0.6,3.36±0.96,49.54±1.00,43.06±2.58,19.73±3.12
Austronesian,0.8,4.69±0.76,50.13±0.82,42.53±2.23,11.05±1.67
Austronesian,1.0,4.93±0.77,49.40±1.23,42.11±2.65,9.27±1.39
Indo-European (Germanic),0.0,2.82±2.98,50.12±1.70,45.51±4.30,21.34±1.81
Indo-European (Germanic),0.2,2.67±1.01,49.90±2.07,44.69±4.43,23.28±1.07
Indo-European (Germanic),0.4,4.54±0.95,50.25±1.85,44.83±3.79,22.55±1.00
Indo-European (Germanic),0.6,4.21±0.31,50.19±1.35,44.54±3.42,18.72±1.81
