language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,32.95±0.00,24.43±0.00,4.54±0.00
Afro-Asiatic,0.2,0.00±0.00,33.66±0.00,26.52±0.00,8.05±0.00
Afro-Asiatic,0.4,0.57±0.00,34.68±0.00,28.69±0.00,10.45±0.00
Afro-Asiatic,0.6,0.00±0.00,36.61±0.00,33.36±0.00,8.01±0.00
Afro-Asiatic,0.8,1.14±0.00,36.53±0.00,35.68±0.00,2.59±0.00
Afro-Asiatic,1.0,0.00±0.00,38.03±0.00,35.16±0.00,3.98±0.00
Austro-Asiatic,0.0,0.00±0.00,36.34±0.00,26.70±0.00,7.95±0.00
Austro-Asiatic,0.2,0.00±0.00,36.34±0.00,32.69±0.00,12.46±0.00
Austro-Asiatic,0.4,1.14±0.00,35.23±0.00,33.65±0.00,14.36±0.00
Austro-Asiatic,0.6,1.70±0.00,36.36±0.00,35.96±0.00,13.92±0.00
Austro-Asiatic,0.8,1.70±0.00,37.36±0.00,34.80±0.00,7.17±0.00
Austro-Asiatic,1.0,1.14±0.00,37.05±0.00,36.85±0.00,3.72±0.00
Austronesian,0.0,0.27±0.54,35.33±2.97,28.08±4.51,6.05±3.19
Austronesian,0.2,0.30±0.35,35.50±3.24,29.25±3.01,11.18±5.04
Austronesian,0.4,1.00±0.80,36.31±2.87,30.22±3.55,12.61±5.02
Austronesian,0.6,1.05±0.93,35.95±3.71,32.01±3.99,10.20±4.24
Austronesian,0.8,1.11±0.61,36.72±3.68,33.86±4.59,4.82±1.56
Austronesian,1.0,0.88±0.60,37.40±3.01,32.64±2.88,2.64±1.38
Indo-European (Germanic),0.0,1.06±1.22,38.58±6.43,32.02±9.73,8.64±2.57
Indo-European (Germanic),0.2,1.97±1.43,39.15±5.84,33.99±8.56,15.40±3.58
Indo-European (Germanic),0.4,3.78±1.78,39.90±5.20,34.54±9.48,18.11±5.54
Indo-European (Germanic),0.6,3.26±2.19,40.01±5.14,35.95±8.95,15.83±3.89
Indo-European (Germanic),0.8,2.14±1.26,40.39±6.05,36.63±8.55,6.02±1.65
Indo-European (Germanic),1.0,0.95±0.66,41.32±4.31,37.83±8.44,4.03±1.24
Indo-European (Greek),0.0,0.00±0.00,40.66±0.00,26.37±0.00,5.49±0.00
Indo-European (Greek),0.2,0.00±0.00,40.66±0.00,28.93±0.00,12.51±0.00
Indo-European (Greek),0.4,0.00±0.00,41.35±0.00,30.55±0.00,14.19±0.00
Indo-European (Greek),0.6,0.00±0.00,40.66±0.00,34.96±0.00,9.22±0.00
Indo-European (Greek),0.8,1.65±0.00,41.35±0.00,35.27±0.00,3.60±0.00
Indo-European (Greek),1.0,0.55±0.00,42.01±0.00,38.24±0.00,4.40±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
