language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,53.41±0.00,47.73±0.00,18.18±0.00
Afro-Asiatic,0.2,0.00±0.00,53.41±0.00,45.45±0.00,13.64±0.00
Afro-Asiatic,0.4,0.00±0.00,53.41±0.00,45.45±0.00,7.95±0.00
Afro-Asiatic,0.6,0.00±0.00,52.27±0.00,43.18±0.00,1.14±0.00
Afro-Asiatic,0.8,0.00±0.00,52.27±0.00,40.91±0.00,0.00±0.00
Afro-Asiatic,1.0,0.00±0.00,50.00±0.00,40.91±0.00,0.00±0.00
Austro-Asiatic,0.0,0.00±0.00,53.41±0.00,47.73±0.00,28.41±0.00
Austro-Asiatic,0.2,0.00±0.00,52.27±0.00,42.05±0.00,17.05±0.00
Austro-Asiatic,0.4,0.00±0.00,54.55±0.00,45.45±0.00,7.95±0.00
Austro-Asiatic,0.6,0.00±0.00,51.14±0.00,37.50±0.00,9.09±0.00
Austro-Asiatic,0.8,0.00±0.00,53.41±0.00,43.18±0.00,0.00±0.00
Austro-Asiatic,1.0,0.00±0.00,47.73±0.00,38.64±0.00,0.00±0.00
Austronesian,0.0,3.01±0.92,49.68±1.17,41.53±2.85,23.20±5.10
Austronesian,0.2,0.55±0.63,48.80±1.88,40.69±3.59,13.83±4.42
Austronesian,0.4,0.00±0.00,47.80±1.00,40.50±3.32,9.08±4.33
Austronesian,0.6,0.00±0.00,47.45±1.65,38.23±2.88,3.04±1.22
Austronesian,0.8,0.00±0.00,46.29±0.81,36.70±3.36,1.17±1.58
Austronesian,1.0,0.33±0.67,45.59±2.39,37.23±2.87,0.96±0.65
Indo-European (Germanic),0.0,2.82±2.98,49.25±1.76,43.72±4.50,21.40±2.13
Indo-European (Germanic),0.2,1.11±0.91,48.98±2.63,41.51±4.14,13.99±3.67
Indo-European (Germanic),0.4,0.55±0.64,49.56±2.01,40.15±3.35,10.49±5.57
Indo-European (Germanic),0.6,0.00±0.00,48.48±1.29,40.43±2.73,3.83±2.73
Indo-European (Germanic),0.8,0.00±0.00,47.40±1.00,36.60±4.09,0.00±0.00
Indo-European (Germanic),1.0,0.00±0.00,48.17±1.79,34.63±3.82,0.53±0.61
Indo-European (Greek),0.0,1.10±0.00,54.95±0.00,40.66±0.00,18.68±0.00
Indo-European (Greek),0.2,0.00±0.00,50.55±0.00,40.66±0.00,12.09±0.00
Indo-European (Greek),0.4,0.00±0.00,51.65±0.00,37.36±0.00,5.49±0.00
Indo-European (Greek),0.6,0.00±0.00,48.35±0.00,38.46±0.00,3.30±0.00
Indo-European (Greek),0.8,0.00±0.00,49.45±0.00,35.16±0.00,0.00±0.00
Indo-European (Greek),1.0,0.00±0.00,47.25±0.00,31.87±0.00,0.00±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Romance),0.0,2.78±1.45,49.64±2.95,40.75±2.60,23.63±3.49
Indo-European (Romance),0.2,0.00±0.00,49.65±3.47,37.66±4.19,12.21±2.09
Indo-European (Romance),0.4,0.00±0.00,48.58±1.57,36.78±5.34,5.87±0.53
Indo-European (Romance),0.6,0.00±0.00,48.00±1.74,35.95±4.40,3.16±2.44
Indo-European (Romance),0.8,0.30±0.60,47.71±1.74,32.84±4.84,0.26±0.53
Indo-European (Romance),1.0,0.00±0.00,46.11±3.26,30.64±3.08,0.87±1.14
Sino-Tibetan,0.0,1.11±0.00,45.56±0.00,45.56±0.00,25.56±0.00
Sino-Tibetan,0.2,1.11±0.00,45.56±0.00,42.22±0.00,20.00±0.00
Sino-Tibetan,0.4,0.00±0.00,45.56±0.00,41.11±0.00,13.33±0.00
Sino-Tibetan,0.6,0.00±0.00,45.56±0.00,42.22±0.00,4.44±0.00
Sino-Tibetan,0.8,1.11±0.00,45.56±0.00,40.00±0.00,0.00±0.00
Sino-Tibetan,1.0,0.00±0.00,46.67±0.00,36.67±0.00,0.00±0.00
