language_family,Temp,Qwen,gemini-2.5-flash,gpt-4o-mini,starcoder2
Afro-Asiatic,0.0,0.00±0.00,32.95±0.00,24.20±0.00,4.41±0.00
Afro-Asiatic,0.2,0.00±0.00,33.38±0.00,25.80±0.00,6.05±0.00
Afro-Asiatic,0.4,0.34±0.00,34.11±0.00,27.16±0.00,7.29±0.00
Afro-Asiatic,0.6,0.00±0.00,35.67±0.00,31.46±0.00,5.32±0.00
Afro-Asiatic,0.8,0.68±0.00,35.65±0.00,33.06±0.00,1.63±0.00
Afro-Asiatic,1.0,0.00±0.00,36.53±0.00,32.20±0.00,2.39±0.00
Austro-Asiatic,0.0,0.00±0.00,36.16±0.00,26.48±0.00,7.95±0.00
Austro-Asiatic,0.2,0.00±0.00,36.16±0.00,31.63±0.00,9.98±0.00
Austro-Asiatic,0.4,0.68±0.00,35.23±0.00,31.52±0.00,10.80±0.00
Austro-Asiatic,0.6,1.02±0.00,36.36±0.00,33.07±0.00,9.62±0.00
Austro-Asiatic,0.8,1.02±0.00,36.89±0.00,32.92±0.00,4.81±0.00
Austro-Asiatic,1.0,0.68±0.00,36.59±0.00,34.04±0.00,2.31±0.00
Austronesian,0.0,0.27±0.54,35.26±3.00,28.08±4.51,5.78±2.97
Austronesian,0.2,0.18±0.21,35.27±3.07,28.65±3.30,9.09±4.21
Austronesian,0.4,0.60±0.48,35.81±2.82,29.17±3.66,9.45±3.86
Austronesian,0.6,0.63±0.56,35.54±3.68,30.72±3.55,6.99±3.14
Austronesian,0.8,0.68±0.40,36.07±3.69,31.67±3.65,2.97±0.91
Austronesian,1.0,0.53±0.36,36.48±3.32,30.90±3.00,1.60±0.84
Indo-European (Germanic),0.0,1.06±1.22,38.57±6.43,31.96±9.78,8.57±2.64
Indo-European (Germanic),0.2,1.45±1.15,38.85±5.94,33.30±8.57,12.57±3.35
Indo-European (Germanic),0.4,2.51±1.19,39.45±5.59,33.85±9.48,13.87±4.59
Indo-European (Germanic),0.6,2.05±1.42,39.37±5.27,34.92±9.12,11.36±3.11
Indo-European (Germanic),0.8,1.28±0.76,39.88±6.02,35.44±9.19,3.79±1.07
Indo-European (Germanic),1.0,0.57±0.39,40.52±4.63,36.11±8.79,2.50±0.77
Indo-European (Greek),0.0,0.00±0.00,40.66±0.00,26.37±0.00,5.46±0.00
Indo-European (Greek),0.2,0.00±0.00,40.66±0.00,27.93±0.00,10.37±0.00
Indo-European (Greek),0.4,0.00±0.00,41.07±0.00,29.16±0.00,10.34±0.00
Indo-European (Greek),0.6,0.00±0.00,40.66±0.00,32.88±0.00,6.30±0.00
Indo-European (Greek),0.8,0.99±0.00,40.97±0.00,33.36±0.00,2.23±0.00
Indo-European (Greek),1.0,0.33±0.00,41.29±0.00,36.49±0.00,2.64±0.00
Indo-European (Iranian),0.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.2,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.4,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.6,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),0.8,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
Indo-European (Iranian),1.0,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00
